analysis,stratum,hypothesis,target_n,cluster_n,mean_delta,median_delta,ci_lower,ci_upper,raw_one_sided_p,improved,tied,regressed,bootstrap_replicates,permutation_replicates,seed,evidence_role
length_bin,30-79,H1-30-79,38,38,0.000663947368421049,0.005229999999999957,-0.02031594736842106,0.018379999999999987,0.4769552304476955,24,1,13,10000,100000,20260819,confirmatory final evidence
length_bin,30-79,H2-30-79,38,38,-0.006502894736842102,0.0,-0.0342867302631579,0.016720184210526307,0.6827831721682783,14,14,10,10000,100000,20260819,confirmatory final evidence
length_bin,30-79,H3-30-79,38,38,0.008199352960950423,0.0024706533669478503,-0.0034862884045692927,0.019756846221699854,0.09062909370906291,21,0,17,10000,100000,20260819,confirmatory final evidence
length_bin,80-149,H1-80-149,41,32,-0.04527951219512195,-0.011270000000000002,-0.0905160928030303,-0.011693484577922086,0.99560004399956,14,1,26,10000,100000,20260819,confirmatory final evidence
length_bin,80-149,H2-80-149,41,32,0.06443780487804877,0.003730000000000011,0.03181256366279069,0.10657319999999998,4.999950000499995e-05,22,13,6,10000,100000,20260819,confirmatory final evidence
length_bin,80-149,H3-80-149,41,32,0.027591322613100298,0.024373424193623094,0.019672274166049653,0.03575149809014414,9.99990000099999e-06,34,0,7,10000,100000,20260819,confirmatory final evidence
length_bin,150-249,H1-150-249,10,9,-0.02702099999999999,-0.02802999999999997,-0.04936999999999999,0.0016238749999999754,0.9470205297947021,3,1,6,10000,100000,20260819,confirmatory final evidence
length_bin,150-249,H2-150-249,10,9,0.044341,0.017174999999999996,0.016176666666666662,0.07745444444444444,0.031279687203127966,5,5,0,10000,100000,20260819,confirmatory final evidence
length_bin,150-249,H3-150-249,10,9,0.035664220248285486,0.036629608041944484,0.027194072200619854,0.04269879947447565,0.0021399786002139977,10,0,0,10000,100000,20260819,confirmatory final evidence
length_bin,250-400,H1-250-400,8,7,-0.04672,-0.021334999999999993,-0.11452999999999998,0.024595714285714287,0.7799622003779962,2,0,6,10000,100000,20260819,confirmatory final evidence
length_bin,250-400,H2-250-400,8,7,0.0598225,0.07024999999999999,0.02496857142857143,0.09236428571428569,0.03170968290317097,6,1,1,10000,100000,20260819,confirmatory final evidence
length_bin,250-400,H3-250-400,8,7,0.0232181778272339,0.02484222490357002,0.019005557066436966,0.028355521039751,0.007579924200757993,8,0,0,10000,100000,20260819,confirmatory final evidence
