target_id,bank,candidate_index,setting,failed,reason
8QEQ_R,J-controlled,0,Simple,False,
8QEQ_R,J-controlled,0,Geometry,False,
8QEQ_R,J-controlled,1,Simple,False,
8QEQ_R,J-controlled,1,Geometry,False,
8QEQ_R,J-controlled,2,Simple,False,
8QEQ_R,J-controlled,2,Geometry,False,
8QEQ_R,J-controlled,3,Simple,False,
8QEQ_R,J-controlled,3,Geometry,False,
8QEQ_R,J-controlled,4,Simple,False,
8QEQ_R,J-controlled,4,Geometry,False,
8QEQ_R,Thesis-3T+2D,0,Geometry,False,
8QEQ_R,Thesis-3T+2D,0,Geometry-fixed-strength,False,
8QEQ_R,Thesis-3T+2D,0,Geometry-global-prior,False,
8QEQ_R,Thesis-3T+2D,0,Geometry-no-Rg,False,
8QEQ_R,Thesis-3T+2D,0,Simple,False,
8QEQ_R,Thesis-3T+2D,1,Geometry,False,
8QEQ_R,Thesis-3T+2D,1,Geometry-fixed-strength,False,
8QEQ_R,Thesis-3T+2D,1,Geometry-global-prior,False,
8QEQ_R,Thesis-3T+2D,1,Geometry-no-Rg,False,
8QEQ_R,Thesis-3T+2D,1,Simple,False,
8QEQ_R,Thesis-3T+2D,2,Geometry,False,
8QEQ_R,Thesis-3T+2D,2,Geometry-fixed-strength,False,
8QEQ_R,Thesis-3T+2D,2,Geometry-global-prior,False,
8QEQ_R,Thesis-3T+2D,2,Geometry-no-Rg,False,
8QEQ_R,Thesis-3T+2D,2,Simple,False,
8QEQ_R,Thesis-3T+2D,3,Geometry,False,
8QEQ_R,Thesis-3T+2D,3,Geometry-fixed-strength,False,
8QEQ_R,Thesis-3T+2D,3,Geometry-global-prior,False,
8QEQ_R,Thesis-3T+2D,3,Geometry-no-Rg,False,
8QEQ_R,Thesis-3T+2D,3,Simple,False,
8QEQ_R,Thesis-3T+2D,4,Geometry,False,
8QEQ_R,Thesis-3T+2D,4,Geometry-fixed-strength,False,
8QEQ_R,Thesis-3T+2D,4,Geometry-global-prior,False,
8QEQ_R,Thesis-3T+2D,4,Geometry-no-Rg,False,
8QEQ_R,Thesis-3T+2D,4,Simple,False,
8T2Y_tA,J-controlled,0,Simple,False,
8T2Y_tA,J-controlled,0,Geometry,False,
8T2Y_tA,J-controlled,1,Simple,False,
8T2Y_tA,J-controlled,1,Geometry,False,
8T2Y_tA,J-controlled,2,Simple,False,
8T2Y_tA,J-controlled,2,Geometry,False,
8T2Y_tA,J-controlled,3,Simple,False,
8T2Y_tA,J-controlled,3,Geometry,False,
8T2Y_tA,J-controlled,4,Simple,False,
8T2Y_tA,J-controlled,4,Geometry,False,
8T2Y_tA,Thesis-3T+2D,0,Geometry,False,
8T2Y_tA,Thesis-3T+2D,0,Geometry-fixed-strength,False,
8T2Y_tA,Thesis-3T+2D,0,Geometry-global-prior,False,
8T2Y_tA,Thesis-3T+2D,0,Geometry-no-Rg,False,
8T2Y_tA,Thesis-3T+2D,0,Simple,False,
8T2Y_tA,Thesis-3T+2D,1,Geometry,False,
8T2Y_tA,Thesis-3T+2D,1,Geometry-fixed-strength,False,
8T2Y_tA,Thesis-3T+2D,1,Geometry-global-prior,False,
8T2Y_tA,Thesis-3T+2D,1,Geometry-no-Rg,False,
