target_id,bank,candidate_index,setting,failed,reason
8QEQ_R,J-controlled,0,Geometry-selected,False,
8QEQ_R,J-controlled,1,Geometry-selected,False,
8QEQ_R,J-controlled,2,Geometry-selected,False,
8QEQ_R,J-controlled,3,Geometry-selected,False,
8QEQ_R,J-controlled,4,Geometry-selected,False,
8QEQ_R,Thesis-3T+2D,0,Geometry-selected,False,
8QEQ_R,Thesis-3T+2D,1,Geometry-selected,False,
8QEQ_R,Thesis-3T+2D,2,Geometry-selected,False,
8QEQ_R,Thesis-3T+2D,3,Geometry-selected,False,
8QEQ_R,Thesis-3T+2D,4,Geometry-selected,False,
8T2Y_tA,J-controlled,0,Geometry-selected,False,
8T2Y_tA,J-controlled,1,Geometry-selected,False,
8T2Y_tA,J-controlled,2,Geometry-selected,False,
8T2Y_tA,J-controlled,3,Geometry-selected,False,
8T2Y_tA,J-controlled,4,Geometry-selected,False,
8T2Y_tA,Thesis-3T+2D,0,Geometry-selected,False,
8T2Y_tA,Thesis-3T+2D,1,Geometry-selected,False,
8T2Y_tA,Thesis-3T+2D,2,Geometry-selected,False,
8T2Y_tA,Thesis-3T+2D,3,Geometry-selected,False,
8T2Y_tA,Thesis-3T+2D,4,Geometry-selected,False,
8VB6_F,J-controlled,0,Geometry-selected,False,
8VB6_F,J-controlled,1,Geometry-selected,False,
8VB6_F,J-controlled,2,Geometry-selected,False,
8VB6_F,J-controlled,3,Geometry-selected,False,
8VB6_F,J-controlled,4,Geometry-selected,False,
8VB6_F,Thesis-3T+2D,0,Geometry-selected,False,
8VB6_F,Thesis-3T+2D,1,Geometry-selected,False,
8VB6_F,Thesis-3T+2D,2,Geometry-selected,False,
8VB6_F,Thesis-3T+2D,3,Geometry-selected,False,
8VB6_F,Thesis-3T+2D,4,Geometry-selected,False,
8VBH_F,J-controlled,0,Geometry-selected,False,
8VBH_F,J-controlled,1,Geometry-selected,False,
8VBH_F,J-controlled,2,Geometry-selected,False,
8VBH_F,J-controlled,3,Geometry-selected,False,
8VBH_F,J-controlled,4,Geometry-selected,False,
8VBH_F,Thesis-3T+2D,0,Geometry-selected,False,
8VBH_F,Thesis-3T+2D,1,Geometry-selected,False,
8VBH_F,Thesis-3T+2D,2,Geometry-selected,False,
8VBH_F,Thesis-3T+2D,3,Geometry-selected,False,
8VBH_F,Thesis-3T+2D,4,Geometry-selected,False,
8ZOL_A,J-controlled,0,Geometry-selected,False,
8ZOL_A,J-controlled,1,Geometry-selected,False,
8ZOL_A,J-controlled,2,Geometry-selected,False,
8ZOL_A,J-controlled,3,Geometry-selected,False,
8ZOL_A,J-controlled,4,Geometry-selected,False,
8ZOL_A,Thesis-3T+2D,0,Geometry-selected,False,
8ZOL_A,Thesis-3T+2D,1,Geometry-selected,False,
8ZOL_A,Thesis-3T+2D,2,Geometry-selected,False,
8ZOL_A,Thesis-3T+2D,3,Geometry-selected,False,
8ZOL_A,Thesis-3T+2D,4,Geometry-selected,False,
9FI8_hB,J-controlled,0,Geometry-selected,False,
9FI8_hB,J-controlled,1,Geometry-selected,False,
9FI8_hB,J-controlled,2,Geometry-selected,False,
9FI8_hB,J-controlled,3,Geometry-selected,False,
9FI8_hB,J-controlled,4,Geometry-selected,False,
9FI8_hB,Thesis-3T+2D,0,Geometry-selected,False,
9FI8_hB,Thesis-3T+2D,1,Geometry-selected,False,
9FI8_hB,Thesis-3T+2D,2,Geometry-selected,False,
9FI8_hB,Thesis-3T+2D,3,Geometry-selected,False,
9FI8_hB,Thesis-3T+2D,4,Geometry-selected,False,
9FI8_hL,J-controlled,0,Geometry-selected,False,
9FI8_hL,J-controlled,1,Geometry-selected,False,
9FI8_hL,J-controlled,2,Geometry-selected,False,
9FI8_hL,J-controlled,3,Geometry-selected,False,
9FI8_hL,J-controlled,4,Geometry-selected,False,
9FI8_hL,Thesis-3T+2D,0,Geometry-selected,False,
9FI8_hL,Thesis-3T+2D,1,Geometry-selected,False,
9FI8_hL,Thesis-3T+2D,2,Geometry-selected,False,
9FI8_hL,Thesis-3T+2D,3,Geometry-selected,False,
9FI8_hL,Thesis-3T+2D,4,Geometry-selected,False,
9FIA_bJ,J-controlled,0,Geometry-selected,False,
9FIA_bJ,J-controlled,1,Geometry-selected,False,
9FIA_bJ,J-controlled,2,Geometry-selected,False,
