tbm_base,allocation,mean_best_tm,delta_vs_5T,targets_complete,mean_realized_T,mean_realized_D,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed
J_SS_RAW,5T,0.2979,0.0,12,5.0,0.0,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
J_SS_RAW,4T+1D,0.43280833333333324,0.13490833333333332,12,4.083333333333333,0.9166666666666666,0.13490833333333332,0.06137999999999999,0.039850000000000003,0.2878258863636363,8,4,0,12,11,10000,20260821
J_SS_RAW,3T+2D,0.4630725,0.1651725,12,3.1666666666666665,1.8333333333333333,0.1651725,0.08789999999999998,0.06420666666666666,0.3154528636363637,10,2,0,12,11,10000,20260821
J_SS_RAW,2T,0.2941141666666666,-0.0037858333333333355,12,2.0,0.0,-0.0037858333333333355,0.0,-0.011735454545454549,0.0,0,10,2,12,11,10000,20260821
J_SS_RAW,1T+1D,0.43280833333333324,0.13490833333333332,12,1.0833333333333333,0.9166666666666666,0.13490833333333332,0.06137999999999999,0.039850000000000003,0.2878258863636363,8,4,0,12,11,10000,20260821
J_SS_RAW,2D,0.44867166666666664,0.15077166666666666,12,0.16666666666666666,1.8333333333333333,0.15077166666666666,0.08789999999999998,0.035612081168831175,0.30652654545454544,10,1,1,12,11,10000,20260821
V3_EXACT_RAW,5T,0.3091641666666667,0.0,12,5.0,0.0,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
V3_EXACT_RAW,4T+1D,0.4353058333333333,0.12614166666666668,12,4.083333333333333,0.9166666666666666,0.12614166666666668,0.04927500000000001,0.03258500416666667,0.27731475378787873,7,4,1,12,11,10000,20260821
V3_EXACT_RAW,3T+2D,0.46438416666666665,0.15522,12,3.1666666666666665,1.8333333333333333,0.15522,0.08477499999999999,0.056134019230769244,0.3043268636363636,10,2,0,12,11,10000,20260821
V3_EXACT_RAW,2T,0.29380833333333334,-0.01535583333333333,12,2.0,0.0,-0.01535583333333333,-0.007010000000000002,-0.027311017045454543,-0.005734545454545454,0,6,6,12,11,10000,20260821
V3_EXACT_RAW,1T+1D,0.43494333333333324,0.1257791666666667,12,1.0833333333333333,0.9166666666666666,0.1257791666666667,0.04927500000000001,0.03214233333333334,0.2772243446969696,7,3,2,12,11,10000,20260821
V3_EXACT_RAW,2D,0.44923916666666663,0.140075,12,0.16666666666666666,1.8333333333333333,0.140075,0.08477499999999999,0.026037875000000005,0.29461545454545446,10,1,1,12,11,10000,20260821
