bank,first,second,metric,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed,positive_favours,sign_flip_two_sided_p
J_5T,Geometry_historical,Simple,sw_rmsd_9,0.008897805853156804,0.008454996987129704,0.008313521423649049,0.009553306513327456,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
J_5T,Geometry_historical,Simple,sw_rmsd_15,0.006574791144317545,0.0067331814783511135,0.005594251709498909,0.0074909501555742,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
J_5T,Geometry_historical,Simple,c1_rmsd,0.011158255632291928,0.00940527974815808,0.008919902992642325,0.01319513450379117,12,0,0,12,11,10000,20260821,Geometry_historical,0.0009765625
J_5T,Geometry_historical,Simple,c1_lddt,0.00044596873241739554,0.0005107835086326784,2.0145739885855746e-05,0.0009784630981915018,8,0,4,12,11,10000,20260821,Geometry_historical,0.0791015625
J_5T,Geometry_historical,Simple,candidate_tm_same_reference,-0.001424000000000004,-0.0006520000000000276,-0.0037652708333333423,0.00035934999999999825,5,0,7,12,11,10000,20260821,Geometry_historical,0.2373046875
J_5T,Simple,Raw,sw_rmsd_9,0.046852528285946805,0.04603987472044002,0.0412226429392064,0.052914734623469795,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_5T,Simple,Raw,sw_rmsd_15,0.03746262216680366,0.03610768670810227,0.03353491705167347,0.041646595127448935,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_5T,Simple,Raw,c1_rmsd,0.012103025757736733,0.011486174795773962,0.009616141040603642,0.015034381026520232,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_5T,Simple,Raw,c1_lddt,0.005353437395571939,0.0052874577580035165,0.0038915847307349617,0.006982827104002976,12,0,0,12,11,10000,20260821,Simple,0.0009765625
J_5T,Simple,Raw,candidate_tm_same_reference,6.983333333334767e-05,0.00024200000000001998,-0.0036381818181818056,0.003832150000000025,7,0,5,12,11,10000,20260821,Simple,0.9423828125
J_5T,John_adaptive,Raw,sw_rmsd_9,0.51129055290566,0.5055582567585457,0.47724692526740525,0.5490898662632909,12,0,0,12,11,10000,20260821,John_adaptive,0.0009765625
