tbm_base,allocation,mean_best_tm,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed
COMPOSITE_ALIGNMENT_43,5T,0.318005,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
COMPOSITE_ALIGNMENT_43,4T+1D,0.43455666666666665,0.11655166666666666,0.004195000000000004,0.019191295454545464,0.27183818749999994,7,4,1,12,11,10000,20260821
COMPOSITE_ALIGNMENT_43,3T+2D,0.4628775,0.14487250000000002,0.07043500000000001,0.04436820535714286,0.2973662954545454,9,2,1,12,11,10000,20260821
COMPOSITE_FULL_4321,5T,0.30815750000000003,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
COMPOSITE_FULL_4321,4T+1D,0.43488833333333327,0.12673083333333335,0.048485,0.03381852272727273,0.27736681249999984,8,3,1,12,11,10000,20260821
COMPOSITE_FULL_4321,3T+2D,0.4643291666666667,0.15617166666666668,0.08579499999999998,0.05723147916666667,0.3048129659090909,10,2,0,12,11,10000,20260821
COMPOSITE_GLOBAL_ONLY,5T,0.31668166666666664,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
COMPOSITE_GLOBAL_ONLY,4T+1D,0.43488833333333327,0.1182066666666667,0.024169999999999997,0.029536115384615386,0.2595635681818182,8,4,0,12,11,10000,20260821
COMPOSITE_GLOBAL_ONLY,3T+2D,0.4643291666666667,0.14764750000000001,0.08579499999999998,0.055945159090909094,0.28573788636363634,10,2,0,12,11,10000,20260821
J_SS_DEDUP_VIEW,5T,0.3034058333333333,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
J_SS_DEDUP_VIEW,4T+1D,0.437745,0.13433916666666668,0.049370000000000025,0.03545083333333334,0.2954519772727272,7,5,0,12,11,10000,20260821
J_SS_DEDUP_VIEW,3T+2D,0.46490750000000003,0.16150166666666665,0.07998000000000002,0.05536802083333333,0.3207008541666667,9,3,0,12,11,10000,20260821
