variant,mean_best5_tm,comparator,mean_delta,median_delta,ci_lower,ci_upper,wins,ties,losses,target_n,cluster_n,bootstrap_replicates,seed
COMPOSITE_ALIGNMENT_43,0.318005,COMPOSITE_FULL_4321,0.009847500000000002,0.0,-0.003990909090909086,0.030207272727272725,2,6,4,12,11,10000,20260821
COMPOSITE_GLOBAL_ONLY,0.31668166666666664,COMPOSITE_FULL_4321,0.008524166666666668,0.0,-0.001863333333333328,0.023290708333333326,3,7,2,12,11,10000,20260821
MERGED_GLOBAL_ONLY,0.31668166666666664,COMPOSITE_FULL_4321,0.008524166666666668,0.0,-0.001863333333333328,0.023290708333333326,3,7,2,12,11,10000,20260821
MERGED_ALIGNMENT_43,0.3104341666666667,COMPOSITE_FULL_4321,0.00227666666666667,0.0,-0.005109090909090902,0.013720000000000001,1,7,4,12,11,10000,20260821
V3_EXACT_RAW,0.3091641666666667,COMPOSITE_FULL_4321,0.0010066666666666672,0.0,-0.0007069772727272666,0.003433691287878784,5,5,2,12,11,10000,20260821
COMPOSITE_FULL_4321,0.30815750000000003,COMPOSITE_FULL_4321,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
MERGED_FULL_4321,0.30815750000000003,COMPOSITE_FULL_4321,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
MERGED_FULL_4321_NO_DISTINCT,0.30815750000000003,COMPOSITE_FULL_4321,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
V3_COMPOSITE_ICS_LINEAR,0.30815750000000003,COMPOSITE_FULL_4321,0.0,0.0,0.0,0.0,0,12,0,12,11,10000,20260821
J_SS_DEDUP_VIEW,0.3034058333333333,COMPOSITE_FULL_4321,-0.004751666666666665,-0.008594999999999992,-0.020097636363636366,0.014926666666666663,3,0,9,12,11,10000,20260821
MERGED_FEATURE_ONLY,0.2992183333333333,COMPOSITE_FULL_4321,-0.008939166666666663,-0.011924999999999991,-0.02364697916666666,0.009321615384615364,1,3,8,12,11,10000,20260821
J_SS_RAW,0.2979,COMPOSITE_FULL_4321,-0.010257499999999994,-0.008594999999999992,-0.014697172619047611,-0.005848136363636357,2,0,10,12,11,10000,20260821
COMPOSITE_FEATURE_ONLY,0.28394916666666664,COMPOSITE_FULL_4321,-0.02420833333333333,-0.012709999999999985,-0.056218590909090906,0.0025433333333333367,1,2,9,12,11,10000,20260821
MERGED_FEATURE_KMER_21,0.2747591666666666,COMPOSITE_FULL_4321,-0.03339833333333333,-0.021175000000000013,-0.06407579545454545,-0.011570863636363634,1,2,9,12,11,10000,20260821
COMPOSITE_FEATURE_KMER_21,0.2604791666666666,COMPOSITE_FULL_4321,-0.047678333333333316,-0.021175000000000013,-0.09497572727272724,-0.013090085227272733,1,2,9,12,11,10000,20260821
MERGED_LOCAL_ONLY,0.25732916666666666,COMPOSITE_FULL_4321,-0.050828333333333336,-0.003250000000000003,-0.11739453409090907,-0.005306839285714289,1,2,9,12,11,10000,20260821
MERGED_KMER3_ONLY,0.2543583333333333,COMPOSITE_FULL_4321,-0.053799166666666655,-0.038275,-0.10623815909090907,-0.011731272727272733,1,1,10,12,11,10000,20260821
COMPOSITE_LOCAL_ONLY,0.25412416666666665,COMPOSITE_FULL_4321,-0.05403333333333333,-0.003250000000000003,-0.12365129545454545,-0.005306839285714289,1,2,9,12,11,10000,20260821
COMPOSITE_KMER3_ONLY,0.2400783333333333,COMPOSITE_FULL_4321,-0.06807916666666665,-0.038275,-0.12928263068181817,-0.01785532142857143,1,1,10,12,11,10000,20260821
