target_id,cluster_id,Geometry,John_fixed,John_original,Raw,Simple,geometry_vs_simple_tm_delta
8BU8_A,8BU8_A,0.304,0.30653,0.30518,0.30678,0.30645,-0.0024500000000000077
8CBM_T,8CBM_T,0.42848,0.41832,0.41614,0.4294,0.42778,0.0007000000000000339
8K85_A,8K85_A,0.39752,0.38022,0.39401,0.39681,0.39236,0.005159999999999998
8KIE_a,8KIE_a,0.28349,0.28239,0.28231,0.28349,0.28386,-0.00036999999999998145
8ONY_5,8ONY_5,0.17001,0.16942,0.16713,0.16927,0.16975,0.00025999999999998247
8ONZ_1,8ONZ_1,0.55345,0.53791,0.54225,0.55346,0.5534,4.999999999999449e-05
8OPT_D,8OPT_D,0.40121,0.41119,0.40656,0.40125,0.40151,-0.00029999999999996696
8P7X_7,8P7X_7,0.87501,0.85465,0.8692,0.87288,0.87111,0.0038999999999999035
8P8B_5,8P8B_5,0.2253,0.22861,0.22854,0.19191,0.22367,0.0016299999999999926
8PM0_V,8PM0_V,0.35569,0.29039,0.33046,0.36212,0.32975,0.02594000000000002
8Q6N_A,8Q6N_A,0.60203,0.58151,0.59796,0.60274,0.59634,0.005689999999999973
8QBK_Q,8QBK_Q,0.31753,0.33162,0.32583,0.31689,0.31748,4.999999999999449e-05
8QBL_L,8QBL_L,0.14085,0.15414,0.12639,0.13874,0.14312,-0.0022699999999999942
8QO2_A,8QO2_A,0.29679,0.29742,0.29778,0.29719,0.29716,-0.00036999999999998145
8QO3_A,8QO3_A,0.46249,0.4597,0.45377,0.45792,0.46071,0.0017800000000000038
8R7N_A,8R7N_A,0.7936,0.78686,0.78971,0.79221,0.79239,0.0012099999999999334
8RDV_V,8RDV_V,0.15094,0.14331,0.1354,0.15176,0.15062,0.00031999999999998696
8RG0_A,8RG0_A,0.22372,0.20323,0.19869,0.22269,0.22445,-0.0007300000000000084
8RO0_5,8RO1_5,0.6258,0.61612,0.62046,0.62508,0.62089,0.00490999999999997
8RO1_5,8RO1_5,0.59991,0.59733,0.59816,0.59904,0.599,0.0009100000000000774
8SD0_B,8SD0_B,0.56509,0.43718,0.54299,0.56648,0.54686,0.01822999999999997
8SFP_B,8SFP_B,0.60654,0.55935,0.57665,0.60647,0.59819,0.008349999999999969
8SYK_B,8SYK_B,0.25524,0.25721,0.2573,0.25451,0.26271,-0.007469999999999977
8T2P_A,8T2P_A,0.33619,0.33485,0.33002,0.33723,0.3367,-0.0005100000000000104
8T2P_B,8T2P_B,0.38519,0.38405,0.38352,0.38452,0.38562,-0.00043000000000004146
8T5O_A,8SYK_B,0.41601,0.41262,0.40404,0.41671,0.41505,0.0009600000000000164
8TUX_R,8TUX_R,0.24811,0.24398,0.23717,0.2452,0.24893,-0.0008200000000000152
8TVZ_C,8TVZ_C,0.34102,0.34121,0.33895,0.34135,0.34059,0.00042999999999998595
8UB9_I,8UB9_I,0.23231,0.23849,0.22801,0.24296,0.23048,0.0018299999999999983
8UIW_N,8UIW_N,0.3657,0.36532,0.36007,0.36365,0.36512,0.0005800000000000249
8UMF_B,8UMF_B,0.40259,0.40071,0.38605,0.39941,0.40241,0.00018000000000001348
8UO6_B,8UO6_B,0.63901,0.63272,0.6257,0.63714,0.63898,2.999999999997449e-05
8URQ_D,8URQ_D,0.19875,0.20456,0.20412,0.19656,0.20679,-0.008039999999999992
8UZB_B,8UZB_B,0.51487,0.5178,0.52612,0.51335,0.5152,-0.00032999999999994145
8VCI_A,8VCI_A,0.27998,0.28957,0.27786,0.27536,0.28483,-0.004850000000000021
8W2Z_B,8W2Z_B,0.31149,0.31019,0.29792,0.31163,0.31161,-0.00012000000000000899
8WCE_G,8WCE_G,0.29228,0.29481,0.28379,0.29074,0.29235,-7.00000000000145e-05
8WMM_O,8WR4_N,0.48295,0.4645,0.48147,0.48133,0.48146,0.0014899999999999913
8WR4_N,8WR4_N,0.4445,0.44209,0.45153,0.44538,0.44425,0.000250000000000028
8WUS_B,8WUS_B,0.74244,0.73348,0.74121,0.74315,0.74104,0.0013999999999999568
8WUT_B,8WUS_B,0.76552,0.75395,0.76296,0.76595,0.76388,0.0016399999999999748
8WUU_B,8WUS_B,0.77852,0.76722,0.77657,0.77874,0.77648,0.0020400000000000418
8WUV_B,8WUS_B,0.68362,0.67618,0.68012,0.68443,0.68417,-0.0005499999999999394
8X5V_B,8X5V_B,0.66776,0.64868,0.65375,0.6675,0.66584,0.0019200000000000328
8XAK_B,8XAK_B,0.10223,0.0941,0.10139,0.09209,0.0942,0.008029999999999995
8XCA_B,8XCA_B,0.38002,0.38226,0.36321,0.37759,0.3803,-0.00028000000000000247
8XTP_A,8XTP_A,0.27013,0.26661,0.26331,0.26904,0.26918,0.0009500000000000064
8XTR_A,8XTP_A,0.23536,0.23401,0.23465,0.21482,0.23641,-0.0010499999999999954
8YDC_A,8YDC_A,0.24435,0.25497,0.24672,0.24967,0.24219,0.002160000000000023
8YGJ_B,8WUS_B,0.6268,0.62072,0.62421,0.62708,0.62662,0.000180000000000069
8YHA_C,8YHA_C,0.23495,0.23517,0.23553,0.23601,0.23357,0.0013799999999999923
8YII_C,8YII_C,0.62933,0.61798,0.60734,0.62934,0.62842,0.0009099999999999664
8ZAU_A,8ZAU_A,0.96031,0.94184,0.95786,0.96002,0.9531,0.00721000000000005
8ZDR_A,8W2Z_B,0.94817,0.9424,0.94834,0.94898,0.94735,0.0008199999999999319
9AR4_B,9AR4_B,0.75283,0.73974,0.74321,0.75138,0.74877,0.0040599999999999525
9AR6_B,9AR7_B,0.7923,0.78164,0.78678,0.79361,0.79503,-0.00273000000000001
9AR7_B,9AR7_B,0.75073,0.73978,0.74776,0.75068,0.754,-0.003269999999999995
9ASP_E,9ASP_E,0.58757,0.59069,0.58199,0.58668,0.5871,0.00047000000000008146
9B1Y_4,9B1Y_4,0.54644,0.5497,0.54971,0.54582,0.54725,-0.0008099999999999774
9B89_C,9B89_C,0.33687,0.38696,0.40512,0.33394,0.33265,0.0042200000000000015
9BCI_A,9BCI_A,0.50172,0.49604,0.48561,0.50569,0.50371,-0.0019899999999999363
9C0J_R,9C0J_R,0.26447,0.25601,0.2585,0.24777,0.24834,0.016129999999999978
9C3H_S4,9C3H_S4,0.73204,0.69884,0.72079,0.73368,0.72595,0.00609000000000004
9CAI_A7,9CAI_A7,0.99839,0.98939,0.99729,0.99865,0.99547,0.0029200000000000337
9CAI_A8,9CAI_A8,0.99911,0.99062,0.99796,0.99939,0.99704,0.0020700000000000163
9DTR_2,9DTR_2,0.5603,0.54133,0.55595,0.56065,0.55907,0.0012300000000000644
9DTR_I,9DTR_I,0.21017,0.20042,0.20124,0.21051,0.20929,0.0008799999999999919
9DXL_A,9DXL_A,0.67542,0.64653,0.67027,0.67655,0.66223,0.013190000000000035
9E2W_F,9E2W_F,0.23655,0.23379,0.22367,0.24041,0.23569,0.0008599999999999997
9E2Y_F,9E2Y_F,0.23948,0.23635,0.21584,0.23912,0.23091,0.008569999999999994
9E71_2,9E71_2,0.75618,0.75681,0.7562,0.75494,0.75577,0.00040999999999991044
9FI8_bN,9FI8_bN,0.14785,0.15724,0.15329,0.1453,0.15169,-0.0038399999999999823
9FI8_hG,9FI8_hG,0.15165,0.1496,0.14795,0.15038,0.15117,0.0004800000000000082
9FIA_bE,9FIA_bE,0.22706,0.21313,0.22834,0.21313,0.22425,0.002810000000000007
9FIA_bL,9FIA_bL,0.13655,0.13002,0.1382,0.16436,0.12984,0.006709999999999994
9FIA_bO,9FIA_bO,0.18695,0.17808,0.17822,0.1727,0.18263,0.004320000000000018
9FIA_bT,9FIA_bT,0.24637,0.24485,0.2474,0.2449,0.24516,0.0012100000000000166
9FIA_bU,9FIA_bU,0.11862,0.11592,0.15503,0.11278,0.12346,-0.004839999999999997
