chain_key,pdb_id,chain_id,release_date,length,resolved_c1_count,normalized_sequence_sha256,sequence_coordinate_sha256,db_controlled_included
124D_B,124D,B,1993-10-31,8,8,9c36fdd65fc6036bd96019bba92cad57a763817c71b1804d7a5c25ac776e0c36,069f62aff75e27a3585c432041b611b0297d248fadf07af1d6bb115c5a641183,True
157D_A,157D,A,1994-05-31,12,12,1ebf43bc82c9eaa5e9b2f361bc75b00cdcba058aeeca434f19fdd2661c498c6c,e091fd5f4a74b8ba8ac82433d91a42895c4dead5aa6257609bd0d1a4ff2bb8af,True
157D_B,157D,B,1994-05-31,12,12,1ebf43bc82c9eaa5e9b2f361bc75b00cdcba058aeeca434f19fdd2661c498c6c,510d37cd3ea8771d9206b0088b2689ed4c6a499fc8ac668814735cb3f591514f,True
165D_A,165D,A,1994-08-31,9,9,acfb880a3eb2f45c94ec19445d77146d61745e3db9c4257e50054d681d06ed76,87ea4a419c57655481c1257f1795f686df6a71849bbec6c7d331b8853e54aef0,True
165D_B,165D,B,1994-08-31,9,9,acfb880a3eb2f45c94ec19445d77146d61745e3db9c4257e50054d681d06ed76,c69cc4726ec2791b500e45def740b94e051d86f1f6598b74954fd37d7ad8e8b4,True
176D_B,176D,B,1994-11-01,6,6,3dccb7a4b4aab845de305c030c7b423119c309a999bec5847bbd7f645fcee12a,77407058d408f1b91ebf921094444dac9f978e900b9bcecdb91a21e18e655dcc,True
17RA_A,17RA,A,1999-04-20,21,21,24587e7d915ab964915c7f9b2b0dfb62a90d1236ea60b1a68932dc8c0476bb5a,26343a35e4319c2a2e9aff8199485a2d374983baf45856c3ed6706f7b486e361,True
1A1T_B,1A1T,B,1998-06-17,20,20,129f4fa29917a0c7906439dd5d1c0605103cc4da1c9ac07eeaf78b212229ac74,17834e7fe976007bc9a5616fb67e33a236bd0fdfc1b172ef8f26fe598ce3b686,True
1A34_B,1A34,B,1998-04-29,10,10,1d65bf29403e4fb1767522a107c827b8884d16640cf0e3b18c4c1dd107e0d49d,6035b43524b57e38b619fb2d9dde2efc8de0b5bb7211669b8e945a5377f87e99,True
1A34_C,1A34,C,1998-04-29,10,10,df621175cfd3824b14982685828384c31bd9a456e862afdf7bee7222a2fe65a0,67e6f37a3794c25ad09e1879f246b337b1dd7185c235a798cf70c43ac5e8310c,True
1A3M_A,1A3M,A,1998-04-29,14,14,c28669cdb48e179526d38645abb5b373c2e6027a8dc8034da3c26bdd335c67e9,5d6c321b7bf110aa4bd7ccbd8469a76247df8e3845a07a937694dbfcb0298a3d,True
1A3M_B,1A3M,B,1998-04-29,13,13,4867f5dd115bd7df14ad66199d632c50aa45e13907c44748704f28695be03e40,51258d510d1df12667896de35b94cb2c3597580fbb26431e15362d7666dbb40f,True
1A4D_A,1A4D,A,1998-04-29,21,21,b35ca08f7fd5f7d08720595acfe8f6732757b5d11abb6417542dd559671ebc2b,946d7873366e5d68451a7b3bef417ad28d79a453e55e3936af9624b37d86befe,True
1A4D_B,1A4D,B,1998-04-29,20,20,de14d2df529c200b6164207af679e110e110fd31ee4825533944f4fbc3b06eac,dc3de57cb73108d3f0de820f254ac3baf06b3d606a4188ff7db712fe2e197d8d,True
1A4T_A,1A4T,A,1998-04-29,15,15,b3319a82a015abebb9731467bf861468354d2824bd6b0eecb83c944abd4db439,cd66049cd2fa8e66dfe605f93d19eaf3658c29f044a5af726f9901e9876bcbe0,True
1A51_A,1A51,A,1998-05-27,41,41,7e5d37d85ad8f69792e71671b9efb98e05f2786b370989d9bf09a5ae8309d451,596af3a1bcf87ea88ad145f29a18e83e40f53927d6a14afd43202ee4921d7d47,True
1A60_A,1A60,A,1998-05-27,44,44,c6e5e9782f6ecb6fc069bcedfa93325b8a540ed0f6ebfa5177489e9157a54bb8,e77310d1dec67906bda07208cb5c4f88bffc1928841e8eab6411fff5a2bae19d,True
1A9L_A,1A9L,A,1998-06-17,38,38,d276b4f122c80d118deedc0b52181f28be5dd1f4ebff5ac0411ffb400abce660,ed822f8e2868b01259dc7be3e94e229f47100ff07736b1a5f8ac6612bdac716a,True
1A9N_Q,1A9N,Q,1998-09-23,24,24,ea0985067810de0696dbcf25b2bfef7bc951cfd291fd4034ce9fa01010e63d24,225c7ecb8918a1ddb388ba65997ff2de617ca63a650d5521b6bc0379832d171c,True
1A9N_R,1A9N,R,1998-09-23,24,24,ea0985067810de0696dbcf25b2bfef7bc951cfd291fd4034ce9fa01010e63d24,6565e6d86504f219ea4ef9913874a078cd4fa5f351f9b45ef075e56c23bd2fb0,True
1AC3_B,1AC3,B,1997-06-16,12,12,378e943a3656977817d5cd719a6a2705f796b45c3d110b0580ff2ef2014ba9c1,6967161dd9fdb4f4201ef123ef95ed4db1d2d1626cba8df03747cda0713887b7,True
1AFX_A,1AFX,A,1997-05-15,12,12,58abf3a9a2d77a79d9e4024b8ed0a6c75b5791966e6962682528656e5ded326a,17cdf2f1260e59fc2282b79d465ed372c64e74241ae818da391592206d4f1691,True
1AJF_A,1AJF,A,1997-07-07,18,18,c06935fb1e38b1895173b8e16eaabea2f52a309d5e973261b537b9141ce778f7,eca4249b2ca64b2a7f00e3222e793729ef395a5b8b7c8f065667f8642dfd045c,True
1AJL_A,1AJL,A,1997-07-07,12,12,81a4d18991ecb918524f6b38754c252661211ab669218554a4a399a4cee16230,b013fef63d4193b89a89ab26c2b64eca214d92ed55734dfef0333f3f42db69c8,True
1AJL_B,1AJL,B,1997-07-07,7,7,5b8f193de989a7d956deb69edaf6ca19e5845e9e54914332db2b5e0bf361349a,da7ca5f79564886d4fe01119272f5dfb6660a88ed384132c5a1f0b435b9c2d5b,True
1AJT_A,1AJT,A,1997-08-20,12,12,81a4d18991ecb918524f6b38754c252661211ab669218554a4a399a4cee16230,38da5e613e477f280ed5f23909a6d52cf69c943d8c977e9f2068debdd816be11,True
1AJT_B,1AJT,B,1997-08-20,7,7,5b8f193de989a7d956deb69edaf6ca19e5845e9e54914332db2b5e0bf361349a,9ad7689ddbc10fc69cb7b9a5b8f8fdb3fa52501c7f25424d639666ef988fbb31,True
1AJU_A,1AJU,A,1997-12-17,30,30,917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178,efcea7a3930b4782b4959334759ef230529243eeac9877dd9f7214b8247d7846,True
1AKX_A,1AKX,A,1997-11-19,30,30,917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178,d0d5b3dca03784777a8881844ee4389c80924de4f65ae8bfcb2fa26ccace5dc3,True
