target_id,cluster_id,Geometry,Geometry-fixed-strength,Geometry-global-prior,Geometry-no-Rg,John-fixed,John-original,Raw,Simple,geometry_vs_simple_tm_delta
8QEQ_R,8QEQ_R,0.27026,0.27514,0.27039,0.27027,0.27688,0.27892,0.2617,0.27526,-0.0050000000000000044
8RR3_T,8RR3_T,0.40876,0.40665,0.41082,0.4106,0.40646,0.40493,0.40886,0.41054,-0.0017800000000000038
8T2Y_tA,8XU8_s,0.86562,0.86397,0.86562,0.8656,0.8556,0.86423,0.86466,0.86087,0.004749999999999921
8UP5_T,8UP5_T,0.81205,0.80915,0.81196,0.81195,0.80661,0.81112,0.81116,0.80916,0.002890000000000059
8VB6_F,8VBF_F,0.29172,0.29085,0.29185,0.29157,0.27753,0.27224,0.2914,0.2899,0.0018199999999999883
8VBH_F,8VBF_F,0.31095,0.31009,0.31029,0.31088,0.30238,0.29783,0.30635,0.30879,0.0021599999999999953
8Y03_G,8Y03_G,0.49771,0.48476,0.49774,0.49783,0.47344,0.498,0.50607,0.48917,0.008539999999999992
8Y08_B,8Y03_G,0.8605,0.84625,0.86093,0.85852,0.7745,0.83921,0.86188,0.84225,0.01824999999999999
8Y0B_B,8Y0B_B,0.7037,0.70016,0.70386,0.70369,0.6907,0.70232,0.70397,0.70265,0.0010499999999999954
8ZOL_A,8ZOL_A,0.90637,0.89242,0.90616,0.90614,0.85478,0.8973,0.90699,0.89316,0.013210000000000055
9D85_T,8UP5_T,0.66733,0.66419,0.66736,0.66794,0.65528,0.66446,0.66869,0.66509,0.0022400000000000198
9FI8_hB,9FI8_hB,0.20939,0.20987,0.20942,0.2094,0.2092,0.20908,0.22804,0.2109,-0.0015100000000000113
9FI8_hL,9FI8_hL,0.14365,0.14479,0.14399,0.1436,0.14269,0.14318,0.14079,0.14334,0.0003100000000000047
9FIA_bJ,9FIA_bJ,0.18899,0.18871,0.17044,0.18857,0.1724,0.18897,0.17393,0.19113,-0.002140000000000003
9G6K_l1,9G6K_l1,0.18404,0.18521,0.18474,0.18377,0.17979,0.18248,0.18348,0.1834,0.0006400000000000017
9G6K_l3,9G6K_l3,0.16075,0.16182,0.16074,0.15922,0.15693,0.16136,0.17258,0.15619,0.0045600000000000085
9G6K_l9,9G6K_l9,0.15253,0.15386,0.13699,0.15235,0.13577,0.14842,0.14762,0.15182,0.0007099999999999884
9G6K_lA,9G6K_lA,0.28773,0.28753,0.28748,0.28748,0.30154,0.30712,0.28777,0.28826,-0.0005300000000000304
9G6K_lB,9G6K_lB,0.1261,0.12644,0.12626,0.1261,0.12716,0.12975,0.12374,0.12583,0.00026999999999999247
9G6K_lK,9G6K_lK,0.16346,0.16274,0.1631,0.16348,0.15864,0.1595,0.16384,0.16326,0.00020000000000000573
