target_id,sequence_cluster,length,tbm_base,allocation,best_tm,requested_T,requested_D,realized_T,realized_D,complete
R1107,seq_2a56598e5142d87d,69,COMPOSITE_ALIGNMENT_43,5T,0.38208,5,0,5,0,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_ALIGNMENT_43,4T+1D,0.56557,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_ALIGNMENT_43,3T+2D,0.56557,3,2,3,2,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_GLOBAL_ONLY,5T,0.38208,5,0,5,0,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_GLOBAL_ONLY,4T+1D,0.56557,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_GLOBAL_ONLY,3T+2D,0.56557,3,2,3,2,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_FULL_4321,5T,0.38208,5,0,5,0,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_FULL_4321,4T+1D,0.56557,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,COMPOSITE_FULL_4321,3T+2D,0.56557,3,2,3,2,True
R1107,seq_2a56598e5142d87d,69,J_SS_DEDUP_VIEW,5T,0.37382,5,0,5,0,True
R1107,seq_2a56598e5142d87d,69,J_SS_DEDUP_VIEW,4T+1D,0.56557,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,J_SS_DEDUP_VIEW,3T+2D,0.56557,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_ALIGNMENT_43,5T,0.49384,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_ALIGNMENT_43,4T+1D,0.60192,4,1,4,1,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_ALIGNMENT_43,3T+2D,0.60192,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_GLOBAL_ONLY,5T,0.49384,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_GLOBAL_ONLY,4T+1D,0.60192,4,1,4,1,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_GLOBAL_ONLY,3T+2D,0.60192,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_FULL_4321,5T,0.49384,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_FULL_4321,4T+1D,0.60192,4,1,4,1,True
R1108,seq_0f7467835a4eb605,69,COMPOSITE_FULL_4321,3T+2D,0.60192,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,J_SS_DEDUP_VIEW,5T,0.48873,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,J_SS_DEDUP_VIEW,4T+1D,0.60192,4,1,4,1,True
