target_id,sequence_cluster,length,tbm_base,allocation,best_tm,requested_T,requested_D,realized_T,realized_D,complete,candidate_ids
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,5T,0.37382,5,0,5,0,True,1DRZ_B|6SDW_B|5FJ4_D|6XJQ_A|3EGZ_B
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,4T+1D,0.56557,4,1,4,1,True,1DRZ_B|6SDW_B|5FJ4_D|6XJQ_A|drfold2_e2e__cfg97_20ckpt_e2e__01
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,3T+2D,0.56557,3,2,3,2,True,1DRZ_B|6SDW_B|5FJ4_D|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,2T,0.37382,2,0,2,0,True,1DRZ_B|6SDW_B
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,1T+1D,0.56557,1,1,1,1,True,1DRZ_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,2D,0.56557,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,5T,0.38208,5,0,5,0,True,1DRZ_B|3BO2_B|1ZZN_B|3BO3_B|3BO4_B
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,4T+1D,0.56557,4,1,4,1,True,1DRZ_B|3BO2_B|1ZZN_B|3BO3_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,3T+2D,0.56557,3,2,3,2,True,1DRZ_B|3BO2_B|1ZZN_B|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,2T,0.38208,2,0,2,0,True,1DRZ_B|3BO2_B
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,1T+1D,0.56557,1,1,1,1,True,1DRZ_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,2D,0.56557,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,5T,0.48873,5,0,5,0,True,1DRZ_B|5FJ4_D|6SDW_B|4X4T_D|2CZJ_B
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,4T+1D,0.60192,4,1,4,1,True,1DRZ_B|5FJ4_D|6SDW_B|4X4T_D|drfold2_e2e__cfg97_20ckpt_e2e__01
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,3T+2D,0.60192,3,2,3,2,True,1DRZ_B|5FJ4_D|6SDW_B|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,2T,0.48873,2,0,2,0,True,1DRZ_B|5FJ4_D
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,1T+1D,0.60192,1,1,1,1,True,1DRZ_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,2D,0.60192,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,5T,0.49384,5,0,5,0,True,1DRZ_B|3BO2_B|1ZZN_B|3BO3_B|3BO4_B
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,4T+1D,0.60192,4,1,4,1,True,1DRZ_B|3BO2_B|1ZZN_B|3BO3_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,3T+2D,0.60192,3,2,3,2,True,1DRZ_B|3BO2_B|1ZZN_B|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,2T,0.49384,2,0,2,0,True,1DRZ_B|3BO2_B
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,1T+1D,0.60192,1,1,1,1,True,1DRZ_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,2D,0.60192,0,2,0,2,True,drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1116,seq_ab902745838f97e5,157,J_SS_RAW,5T,0.45228,5,0,5,0,True,7LYF_A|4UYK_R|5A2Q_3|3J79_B|1FFK_9
R1116,seq_ab902745838f97e5,157,J_SS_RAW,4T+1D,0.49184,4,1,4,1,True,7LYF_A|4UYK_R|5A2Q_3|3J79_B|drfold2_e2e__cfg97_20ckpt_e2e__01
R1116,seq_ab902745838f97e5,157,J_SS_RAW,3T+2D,0.51489,3,2,3,2,True,7LYF_A|4UYK_R|5A2Q_3|drfold2_e2e__cfg97_20ckpt_e2e__01|drfold2_e2e__cfg97_20ckpt_e2e__02
R1116,seq_ab902745838f97e5,157,J_SS_RAW,2T,0.45228,2,0,2,0,True,7LYF_A|4UYK_R
