target_id,cluster_id,seq_len,j_controlled_5t_raw_tm,thesis_5t_raw_tm,thesis_3t2d_raw_tm,h1_delta,h2_delta,drfold2_available
8BU8_A,8BU8_A,354,0.19339,0.16394,0.30678,-0.029450000000000004,0.14284,2
8CBM_T,8CBM_T,69,0.24364,0.37183,0.4294,0.12819,0.05757000000000001,2
8K85_A,8K85_A,56,0.33992,0.39681,0.39681,0.056889999999999996,0.0,2
8KIE_a,8KIE_a,358,0.28913,0.29002,0.28349,0.0008900000000000019,-0.00652999999999998,2
8ONY_5,8ONY_5,156,0.17551,0.13492,0.16927,-0.04058999999999999,0.03434999999999999,2
8ONZ_1,8ONZ_1,270,0.55881,0.55346,0.55346,-0.005350000000000077,0.0,2
8OPT_D,8OPT_D,54,0.40062,0.40125,0.40125,0.0006300000000000194,0.0,2
8P7X_7,8P7X_7,75,0.87581,0.87693,0.87288,0.0011200000000000099,-0.004049999999999998,2
8P8B_5,8P8B_5,30,0.20432,0.22449,0.19191,0.020169999999999993,-0.03258,2
8PM0_V,8PM0_V,31,0.38494,0.36212,0.36212,-0.022820000000000007,0.0,2
8Q6N_A,8Q6N_A,46,0.55527,0.60274,0.60274,0.04747000000000001,0.0,2
8QBK_Q,8QBK_Q,85,0.27247,0.1978,0.31689,-0.07466999999999999,0.11909,2
8QBL_L,8QBL_L,37,0.14081,0.15136,0.13874,0.010550000000000004,-0.012619999999999992,2
8QO2_A,8QO2_A,222,0.20968,0.13332,0.29719,-0.07636000000000001,0.16387000000000002,2
8QO3_A,8QO3_A,118,0.31,0.26032,0.45792,-0.04968,0.1976,2
8R7N_A,8R7N_A,135,0.7892,0.79221,0.79221,0.003009999999999957,0.0,2
8RDV_V,8RDV_V,76,0.41686,0.42495,0.15176,0.008089999999999986,-0.27319,2
8RG0_A,8RG0_A,121,0.19874,0.19705,0.22269,-0.001689999999999997,0.025639999999999996,2
8RO0_5,8RO1_5,121,0.68002,0.70308,0.62508,0.02306000000000008,-0.07800000000000007,2
8RO1_5,8RO1_5,112,0.59802,0.59904,0.59904,0.0010200000000000209,0.0,2
8SD0_B,8SD0_B,32,0.56189,0.56648,0.56648,0.004589999999999983,0.0,2
8SFP_B,8SFP_B,48,0.66593,0.71115,0.60647,0.04521999999999993,-0.10468,2
