target_id,cluster_id,seq_len,bank,setting,best5_tm
8QEQ_R,8QEQ_R,30,J-controlled,Geometry-selected,0.26706
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Geometry-selected,0.27043
8T2Y_tA,8XU8_s,76,J-controlled,Geometry-selected,0.86554
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Geometry-selected,0.86562
8VB6_F,8VBF_F,34,J-controlled,Geometry-selected,0.1818
8VB6_F,8VBF_F,34,Thesis-3T+2D,Geometry-selected,0.29102
8VBH_F,8VBF_F,36,J-controlled,Geometry-selected,0.18726
8VBH_F,8VBF_F,36,Thesis-3T+2D,Geometry-selected,0.31054
8ZOL_A,8ZOL_A,61,J-controlled,Geometry-selected,0.90554
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Geometry-selected,0.90598
9FI8_hB,9FI8_hB,56,J-controlled,Geometry-selected,0.23865
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Geometry-selected,0.20942
9FI8_hL,9FI8_hL,33,J-controlled,Geometry-selected,0.14259
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Geometry-selected,0.14396
9FIA_bJ,9FIA_bJ,71,J-controlled,Geometry-selected,0.1532
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Geometry-selected,0.1709
9G6K_l1,9G6K_l1,50,J-controlled,Geometry-selected,0.18667
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Geometry-selected,0.18469
9G6K_l3,9G6K_l3,59,J-controlled,Geometry-selected,0.14499
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Geometry-selected,0.15927
9G6K_l9,9G6K_l9,91,J-controlled,Geometry-selected,0.13224
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Geometry-selected,0.13692
9G6K_lA,9G6K_lA,65,J-controlled,Geometry-selected,0.20016
9G6K_lA,9G6K_lA,65,Thesis-3T+2D,Geometry-selected,0.28714
9G6K_lB,9G6K_lB,45,J-controlled,Geometry-selected,0.10769
9G6K_lB,9G6K_lB,45,Thesis-3T+2D,Geometry-selected,0.12635
9G6K_lK,9G6K_lK,38,J-controlled,Geometry-selected,0.14458
9G6K_lK,9G6K_lK,38,Thesis-3T+2D,Geometry-selected,0.163
8UP5_T,8UP5_T,76,J-controlled,Geometry-selected,0.81178
8UP5_T,8UP5_T,76,Thesis-3T+2D,Geometry-selected,0.81184
9D85_T,8UP5_T,76,J-controlled,Geometry-selected,0.66791
9D85_T,8UP5_T,76,Thesis-3T+2D,Geometry-selected,0.668
8Y03_G,8Y03_G,40,J-controlled,Geometry-selected,0.51286
8Y03_G,8Y03_G,40,Thesis-3T+2D,Geometry-selected,0.49797
8Y08_B,8Y03_G,40,J-controlled,Geometry-selected,0.84334
8Y08_B,8Y03_G,40,Thesis-3T+2D,Geometry-selected,0.85903
8Y0B_B,8Y0B_B,58,J-controlled,Geometry-selected,0.67111
8Y0B_B,8Y0B_B,58,Thesis-3T+2D,Geometry-selected,0.70393
8RR3_T,8RR3_T,81,J-controlled,Geometry-selected,0.43449
8RR3_T,8RR3_T,81,Thesis-3T+2D,Geometry-selected,0.4107
