target_id,cluster_id,best5_tm_simple,best5_tm_selected,tm_delta
8QEQ_R,8QEQ_R,0.27526,0.27043,-0.004830000000000001
8T2Y_tA,8XU8_s,0.86087,0.86562,0.004749999999999921
8VB6_F,8VBF_F,0.2899,0.29102,0.0011200000000000099
8VBH_F,8VBF_F,0.30879,0.31054,0.0017499999999999738
8ZOL_A,8ZOL_A,0.89316,0.90598,0.012820000000000054
9FI8_hB,9FI8_hB,0.2109,0.20942,-0.001480000000000009
9FI8_hL,9FI8_hL,0.14334,0.14396,0.0006200000000000094
9FIA_bJ,9FIA_bJ,0.19113,0.1709,-0.020229999999999998
9G6K_l1,9G6K_l1,0.1834,0.18469,0.0012899999999999856
9G6K_l3,9G6K_l3,0.15619,0.15927,0.0030799999999999994
9G6K_l9,9G6K_l9,0.15182,0.13692,-0.014900000000000024
9G6K_lA,9G6K_lA,0.28826,0.28714,-0.0011200000000000099
9G6K_lB,9G6K_lB,0.12583,0.12635,0.0005199999999999927
9G6K_lK,9G6K_lK,0.16326,0.163,-0.00025999999999998247
8UP5_T,8UP5_T,0.80916,0.81184,0.0026800000000000157
9D85_T,8UP5_T,0.66509,0.668,0.002910000000000079
8Y03_G,8Y03_G,0.48917,0.49797,0.00880000000000003
8Y08_B,8Y03_G,0.84225,0.85903,0.016779999999999906
8Y0B_B,8Y0B_B,0.70265,0.70393,0.0012799999999999478
8RR3_T,8RR3_T,0.41054,0.4107,0.00015999999999999348
