target_id,cluster_id,j_controlled_tbm,selected_thesis_tbm,h1_delta
8QEQ_R,8QEQ_R,0.25769,0.2617,0.0040100000000000136
8T2Y_tA,8XU8_s,0.86466,0.86466,0.0
8VB6_F,8VBF_F,0.19045,0.20728,0.016829999999999984
8VBH_F,8VBF_F,0.17198,0.20088,0.02890000000000001
8ZOL_A,8ZOL_A,0.90699,0.90699,0.0
9FI8_hB,9FI8_hB,0.23444,0.20335,-0.031090000000000007
9FI8_hL,9FI8_hL,0.12964,0.13669,0.007050000000000001
9FIA_bJ,9FIA_bJ,0.17847,0.12255,-0.055919999999999984
9G6K_l1,9G6K_l1,0.18474,0.2286,0.04386000000000001
9G6K_l3,9G6K_l3,0.14671,0.13318,-0.013530000000000014
9G6K_l9,9G6K_l9,0.13486,0.14762,0.012759999999999994
9G6K_lA,9G6K_lA,0.19805,0.18688,-0.011170000000000013
9G6K_lB,9G6K_lB,0.11051,0.14319,0.032680000000000015
9G6K_lK,9G6K_lK,0.13662,0.16384,0.027220000000000022
8UP5_T,8UP5_T,0.81119,0.81116,-2.999999999997449e-05
9D85_T,8UP5_T,0.66786,0.66869,0.0008299999999999974
8Y03_G,8Y03_G,0.51367,0.51063,-0.0030399999999999316
8Y08_B,8Y03_G,0.84563,0.59204,-0.25359
8Y0B_B,8Y0B_B,0.66855,0.66809,-0.00046000000000001595
8RR3_T,8RR3_T,0.43396,0.42507,-0.008890000000000009
