target_id,sequence_cluster,length,tbm_base,allocation,candidate_n,mean_pairwise_self_tm,near_duplicate_pair_fraction_tm_ge_0_95,pair_n,requested_T,requested_D,realized_T,realized_D,complete
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,1T+1D,2,0.44732,0.0,1,1,1,1,1,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,1T+1D,2,0.44415,0.0,1,1,1,1,1,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,1T+1D,2,0.40859,0.0,1,1,1,1,1,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,1T+1D,2,0.26042,0.0,1,1,1,1,1,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,1T+1D,2,0.13659,0.0,1,1,1,1,1,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,1T+1D,2,0.14293,0.0,1,1,1,1,1,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,1T+1D,2,0.17881,0.0,1,1,1,1,1,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,1T+1D,2,0.1836,0.0,1,1,1,2,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,1T+1D,2,0.21274,0.0,1,1,1,1,1,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,1T+1D,2,0.20982,0.0,1,1,1,1,1,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,1T+1D,2,0.13679,0.0,1,1,1,1,1,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,1T+1D,2,0.13679,0.0,1,1,1,1,1,True
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,2D,2,0.24986,0.0,1,0,2,0,2,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,2D,2,0.57357,0.0,1,0,2,0,2,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,2D,2,0.7126,0.0,1,0,2,0,2,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,2D,2,0.41642,0.0,1,0,2,0,2,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,2D,2,0.44774,0.0,1,0,2,0,2,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,2D,2,0.95405,1.0,1,0,2,0,2,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,2D,2,0.41311,0.0,1,0,2,0,2,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,2D,2,0.1836,0.0,1,0,2,2,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,2D,2,0.67746,0.0,1,0,2,0,2,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,2D,2,0.41867,0.0,1,0,2,0,2,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,2D,2,0.22234,0.0,1,0,2,0,2,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,2D,2,0.22234,0.0,1,0,2,0,2,True
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,2T,2,0.21922,0.0,1,2,0,2,0,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,2T,2,0.26135,0.0,1,2,0,2,0,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,2T,2,0.18924,0.0,1,2,0,2,0,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,2T,2,0.30765,0.0,1,2,0,2,0,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,2T,2,0.12779,0.0,1,2,0,2,0,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,2T,2,0.09452,0.0,1,2,0,2,0,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,2T,2,0.16341,0.0,1,2,0,2,0,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,2T,2,0.1836,0.0,1,2,0,2,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,2T,2,0.13117,0.0,1,2,0,2,0,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,2T,2,0.25703,0.0,1,2,0,2,0,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,2T,2,0.08559,0.0,1,2,0,2,0,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,2T,2,0.08559,0.0,1,2,0,2,0,True
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,3T+2D,5,0.28474600000000005,0.0,10,3,2,3,2,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,3T+2D,5,0.33834000000000003,0.0,10,3,2,3,2,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,3T+2D,5,0.31007100000000004,0.0,10,3,2,3,2,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,3T+2D,5,0.23117799999999997,0.0,10,3,2,3,2,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,3T+2D,5,0.19633399999999998,0.0,10,3,2,3,2,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,3T+2D,5,0.22862,0.1,10,3,2,3,2,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,3T+2D,5,0.200204,0.0,10,3,2,3,2,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,3T+2D,5,0.256876,0.0,10,3,2,5,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,3T+2D,5,0.24273699999999998,0.0,10,3,2,3,2,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,3T+2D,5,0.233163,0.0,10,3,2,3,2,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,3T+2D,5,0.17652600000000002,0.0,10,3,2,3,2,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,3T+2D,5,0.17652600000000002,0.0,10,3,2,3,2,True
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,4T+1D,5,0.294715,0.0,10,4,1,4,1,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,4T+1D,5,0.316647,0.0,10,4,1,4,1,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,4T+1D,5,0.243882,0.0,10,4,1,4,1,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,4T+1D,5,0.21648399999999998,0.0,10,4,1,4,1,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,4T+1D,5,0.154841,0.0,10,4,1,4,1,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,4T+1D,5,0.137932,0.0,10,4,1,4,1,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,4T+1D,5,0.15060800000000002,0.0,10,4,1,4,1,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,4T+1D,5,0.256876,0.0,10,4,1,5,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,4T+1D,5,0.188157,0.0,10,4,1,4,1,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,4T+1D,5,0.203729,0.0,10,4,1,4,1,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,4T+1D,5,0.153047,0.0,10,4,1,4,1,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,4T+1D,5,0.153047,0.0,10,4,1,4,1,True
R1107,seq_2a56598e5142d87d,69,J_SS_RAW,5T,5,0.270586,0.0,10,5,0,5,0,True
R1108,seq_0f7467835a4eb605,69,J_SS_RAW,5T,5,0.278645,0.0,10,5,0,5,0,True
R1116,seq_ab902745838f97e5,157,J_SS_RAW,5T,5,0.26195899999999994,0.0,10,5,0,5,0,True
R1117v2,seq_d00cb7b2e16a5704,30,J_SS_RAW,5T,5,0.20134700000000003,0.0,10,5,0,5,0,True
R1126,seq_c8464c14b2e8bee2,363,J_SS_RAW,5T,5,0.135813,0.0,10,5,0,5,0,True
R1128,seq_f3159d2df289b012,238,J_SS_RAW,5T,5,0.13495300000000002,0.0,10,5,0,5,0,True
R1136,seq_e113e5b915f73e77,374,J_SS_RAW,5T,5,0.146806,0.0,10,5,0,5,0,True
R1138,seq_10df3cf7b8552761,720,J_SS_RAW,5T,5,0.256876,0.0,10,5,0,5,0,True
R1149,seq_6157861c4fd04fcf,124,J_SS_RAW,5T,5,0.18734800000000001,0.0,10,5,0,5,0,True
R1156,seq_43da3c4c1f178763,135,J_SS_RAW,5T,5,0.20576399999999997,0.0,10,5,0,5,0,True
R1189,seq_1eedfbc5839f67d6,118,J_SS_RAW,5T,5,0.189838,0.0,10,5,0,5,0,True
R1190,seq_1eedfbc5839f67d6,118,J_SS_RAW,5T,5,0.189838,0.0,10,5,0,5,0,True
R1107,seq_2a56598e5142d87d,69,V3_EXACT_RAW,1T+1D,2,0.4445,0.0,1,1,1,1,1,True
R1108,seq_0f7467835a4eb605,69,V3_EXACT_RAW,1T+1D,2,0.4489,0.0,1,1,1,1,1,True
R1116,seq_ab902745838f97e5,157,V3_EXACT_RAW,1T+1D,2,0.43258,0.0,1,1,1,1,1,True
R1117v2,seq_d00cb7b2e16a5704,30,V3_EXACT_RAW,1T+1D,2,0.27502,0.0,1,1,1,1,1,True
R1126,seq_c8464c14b2e8bee2,363,V3_EXACT_RAW,1T+1D,2,0.18031,0.0,1,1,1,1,1,True
R1128,seq_f3159d2df289b012,238,V3_EXACT_RAW,1T+1D,2,0.13326,0.0,1,1,1,1,1,True
R1136,seq_e113e5b915f73e77,374,V3_EXACT_RAW,1T+1D,2,0.16109,0.0,1,1,1,1,1,True
