target_id,sequence_cluster,length,COMPOSITE_FULL_4321,MERGED_FULL_4321,MERGED_FULL_4321_NO_DISTINCT,COMPOSITE_ALIGNMENT_43,MERGED_ALIGNMENT_43,COMPOSITE_FEATURE_KMER_21,MERGED_FEATURE_KMER_21,COMPOSITE_GLOBAL_ONLY,MERGED_GLOBAL_ONLY,COMPOSITE_LOCAL_ONLY,MERGED_LOCAL_ONLY,COMPOSITE_FEATURE_ONLY,MERGED_FEATURE_ONLY,COMPOSITE_KMER3_ONLY,MERGED_KMER3_ONLY,J_SS_DEDUP_VIEW,J_SS_RAW,V3_COMPOSITE_ICS_LINEAR,V3_EXACT_RAW
R1107,seq_2a56598e5142d87d,69,0.38208,0.38208,0.38208,0.38208,0.38208,0.23116,0.3292,0.38208,0.38208,0.38208,0.38208,0.29661,0.3292,0.23116,0.3292,0.37382,0.37382,0.38208,0.38208
R1108,seq_0f7467835a4eb605,69,0.49384,0.49384,0.49384,0.49384,0.49384,0.24497,0.31829,0.49384,0.49384,0.27983,0.31829,0.47653,0.47653,0.24497,0.31829,0.48873,0.48873,0.49384,0.49384
R1116,seq_ab902745838f97e5,157,0.45138,0.45138,0.45138,0.54223,0.45138,0.45138,0.45138,0.45138,0.45138,0.45138,0.45138,0.30074,0.45138,0.45138,0.45138,0.53691,0.45228,0.45138,0.45342
R1117v2,seq_d00cb7b2e16a5704,30,0.46162,0.46162,0.46162,0.4442,0.4442,0.47087,0.47087,0.46162,0.46162,0.12184,0.12184,0.46162,0.46162,0.19381,0.19381,0.45269,0.45269,0.46162,0.46162
R1126,seq_c8464c14b2e8bee2,363,0.20228,0.20228,0.20228,0.1995,0.1995,0.20012,0.20012,0.1995,0.1995,0.21116,0.21116,0.1899,0.1899,0.20012,0.20012,0.20394,0.20394,0.20228,0.20438
R1128,seq_f3159d2df289b012,238,0.20745,0.20745,0.20745,0.19955,0.19955,0.17872,0.17872,0.26311,0.26311,0.20341,0.20341,0.19441,0.19441,0.26311,0.26311,0.1531,0.19261,0.20745,0.20781
R1136,seq_e113e5b915f73e77,374,0.21934,0.21934,0.21934,0.21934,0.21934,0.20572,0.20572,0.21934,0.21934,0.17576,0.17576,0.18872,0.18872,0.20572,0.20572,0.2049,0.2049,0.21934,0.23157
R1138,seq_10df3cf7b8552761,720,0.22362,0.22362,0.22362,0.22362,0.22362,0.22362,0.22362,0.22362,0.22362,0.22196,0.22196,0.22362,0.22362,0.21667,0.21667,0.21747,0.21747,0.22362,0.22428
R1149,seq_6157861c4fd04fcf,124,0.31842,0.31842,0.31842,0.31842,0.31842,0.2664,0.2664,0.32585,0.32585,0.27501,0.27501,0.28311,0.28311,0.25654,0.25654,0.30109,0.30109,0.31842,0.31673
R1156,seq_43da3c4c1f178763,135,0.27993,0.27993,0.27993,0.33593,0.33593,0.23608,0.23608,0.33593,0.33593,0.27747,0.27747,0.34999,0.34999,0.23608,0.23608,0.26002,0.25324,0.27993,0.27631
R1189,seq_1eedfbc5839f67d6,118,0.2198,0.2198,0.2198,0.2198,0.2198,0.19005,0.19005,0.2198,0.2198,0.21204,0.21204,0.21548,0.21548,0.18178,0.18178,0.22463,0.21249,0.2198,0.2198
R1190,seq_1eedfbc5839f67d6,118,0.23813,0.23813,0.23813,0.23755,0.23755,0.22666,0.22666,0.22411,0.22411,0.23755,0.23755,0.22666,0.22666,0.1996,0.1996,0.22357,0.22154,0.23813,0.23813
