target_id,cluster_id,seq_len,bank,setting,best5_tm
8BU8_A,8BU8_A,354,J-controlled,Raw,0.19339
8BU8_A,8BU8_A,354,J-controlled,John_original,0.19142
8BU8_A,8BU8_A,354,J-controlled,John_fixed,0.19436
8BU8_A,8BU8_A,354,J-controlled,Simple,0.19034
8BU8_A,8BU8_A,354,J-controlled,Geometry,0.18863
8BU8_A,8BU8_A,354,Thesis-3T+2D,Raw,0.30678
8BU8_A,8BU8_A,354,Thesis-3T+2D,John_original,0.30518
8BU8_A,8BU8_A,354,Thesis-3T+2D,John_fixed,0.30653
8BU8_A,8BU8_A,354,Thesis-3T+2D,Simple,0.30645
8BU8_A,8BU8_A,354,Thesis-3T+2D,Geometry,0.304
8CBM_T,8CBM_T,69,J-controlled,Raw,0.24364
8CBM_T,8CBM_T,69,J-controlled,John_original,0.2476
8CBM_T,8CBM_T,69,J-controlled,John_fixed,0.24538
8CBM_T,8CBM_T,69,J-controlled,Simple,0.24301
8CBM_T,8CBM_T,69,J-controlled,Geometry,0.24406
8CBM_T,8CBM_T,69,Thesis-3T+2D,Raw,0.4294
8CBM_T,8CBM_T,69,Thesis-3T+2D,John_original,0.41614
8CBM_T,8CBM_T,69,Thesis-3T+2D,John_fixed,0.41832
8CBM_T,8CBM_T,69,Thesis-3T+2D,Simple,0.42778
8CBM_T,8CBM_T,69,Thesis-3T+2D,Geometry,0.42848
8K85_A,8K85_A,56,J-controlled,Raw,0.33992
8K85_A,8K85_A,56,J-controlled,John_original,0.3383
8K85_A,8K85_A,56,J-controlled,John_fixed,0.32616
8K85_A,8K85_A,56,J-controlled,Simple,0.3318
8K85_A,8K85_A,56,J-controlled,Geometry,0.33872
8K85_A,8K85_A,56,Thesis-3T+2D,Raw,0.39681
8K85_A,8K85_A,56,Thesis-3T+2D,John_original,0.39401
8K85_A,8K85_A,56,Thesis-3T+2D,John_fixed,0.38022
8K85_A,8K85_A,56,Thesis-3T+2D,Simple,0.39236
8K85_A,8K85_A,56,Thesis-3T+2D,Geometry,0.39752
8KIE_a,8KIE_a,358,J-controlled,Raw,0.28913
8KIE_a,8KIE_a,358,J-controlled,John_original,0.28906
8KIE_a,8KIE_a,358,J-controlled,John_fixed,0.28902
8KIE_a,8KIE_a,358,J-controlled,Simple,0.28911
8KIE_a,8KIE_a,358,J-controlled,Geometry,0.2892
8KIE_a,8KIE_a,358,Thesis-3T+2D,Raw,0.28349
8KIE_a,8KIE_a,358,Thesis-3T+2D,John_original,0.28231
8KIE_a,8KIE_a,358,Thesis-3T+2D,John_fixed,0.28239
8KIE_a,8KIE_a,358,Thesis-3T+2D,Simple,0.28386
8KIE_a,8KIE_a,358,Thesis-3T+2D,Geometry,0.28349
8ONY_5,8ONY_5,156,J-controlled,Raw,0.17551
8ONY_5,8ONY_5,156,J-controlled,John_original,0.17239
8ONY_5,8ONY_5,156,J-controlled,John_fixed,0.1724
8ONY_5,8ONY_5,156,J-controlled,Simple,0.17104
8ONY_5,8ONY_5,156,J-controlled,Geometry,0.18485
