target_id,sequence_cluster,length,bank,setting,best5_tm
R1107,seq_2a56598e5142d87d,69,J_5T,Geometry_global,0.3745
R1107,seq_2a56598e5142d87d,69,V3_5T,Geometry_global,0.38255
R1107,seq_2a56598e5142d87d,69,J_3T2D,Geometry_global,0.56584
R1107,seq_2a56598e5142d87d,69,V3_3T2D,Geometry_global,0.56584
R1108,seq_0f7467835a4eb605,69,J_5T,Geometry_global,0.4884
R1108,seq_0f7467835a4eb605,69,V3_5T,Geometry_global,0.49445
R1108,seq_0f7467835a4eb605,69,J_3T2D,Geometry_global,0.60221
R1108,seq_0f7467835a4eb605,69,V3_3T2D,Geometry_global,0.60221
R1116,seq_ab902745838f97e5,157,J_5T,Geometry_global,0.45408
R1116,seq_ab902745838f97e5,157,V3_5T,Geometry_global,0.45306
R1116,seq_ab902745838f97e5,157,J_3T2D,Geometry_global,0.51578
R1116,seq_ab902745838f97e5,157,V3_3T2D,Geometry_global,0.51578
R1117v2,seq_d00cb7b2e16a5704,30,J_5T,Geometry_global,0.43382
R1117v2,seq_d00cb7b2e16a5704,30,V3_5T,Geometry_global,0.44726
R1117v2,seq_d00cb7b2e16a5704,30,J_3T2D,Geometry_global,0.43382
R1117v2,seq_d00cb7b2e16a5704,30,V3_3T2D,Geometry_global,0.44726
R1126,seq_c8464c14b2e8bee2,363,J_5T,Geometry_global,0.20363
R1126,seq_c8464c14b2e8bee2,363,V3_5T,Geometry_global,0.19676
R1126,seq_c8464c14b2e8bee2,363,J_3T2D,Geometry_global,0.33953
R1126,seq_c8464c14b2e8bee2,363,V3_3T2D,Geometry_global,0.33953
R1128,seq_f3159d2df289b012,238,J_5T,Geometry_global,0.20179
R1128,seq_f3159d2df289b012,238,V3_5T,Geometry_global,0.21027
R1128,seq_f3159d2df289b012,238,J_3T2D,Geometry_global,0.986
R1128,seq_f3159d2df289b012,238,V3_3T2D,Geometry_global,0.986
R1136,seq_e113e5b915f73e77,374,J_5T,Geometry_global,0.17964
R1136,seq_e113e5b915f73e77,374,V3_5T,Geometry_global,0.23293
R1136,seq_e113e5b915f73e77,374,J_3T2D,Geometry_global,0.24638
R1136,seq_e113e5b915f73e77,374,V3_3T2D,Geometry_global,0.24638
R1138,seq_10df3cf7b8552761,720,J_5T,Geometry_global,0.21818
R1138,seq_10df3cf7b8552761,720,V3_5T,Geometry_global,0.22526
R1138,seq_10df3cf7b8552761,720,J_3T2D,Geometry_global,0.21818
R1138,seq_10df3cf7b8552761,720,V3_3T2D,Geometry_global,0.22526
R1149,seq_6157861c4fd04fcf,124,J_5T,Geometry_global,0.30113
R1149,seq_6157861c4fd04fcf,124,V3_5T,Geometry_global,0.32016
R1149,seq_6157861c4fd04fcf,124,J_3T2D,Geometry_global,0.66724
R1149,seq_6157861c4fd04fcf,124,V3_3T2D,Geometry_global,0.66724
R1156,seq_43da3c4c1f178763,135,J_5T,Geometry_global,0.25719
R1156,seq_43da3c4c1f178763,135,V3_5T,Geometry_global,0.28092
R1156,seq_43da3c4c1f178763,135,J_3T2D,Geometry_global,0.47081
R1156,seq_43da3c4c1f178763,135,V3_3T2D,Geometry_global,0.47081
R1189,seq_1eedfbc5839f67d6,118,J_5T,Geometry_global,0.20906
R1189,seq_1eedfbc5839f67d6,118,V3_5T,Geometry_global,0.22143
R1189,seq_1eedfbc5839f67d6,118,J_3T2D,Geometry_global,0.22846
R1189,seq_1eedfbc5839f67d6,118,V3_3T2D,Geometry_global,0.22846
R1190,seq_1eedfbc5839f67d6,118,J_5T,Geometry_global,0.22551
R1190,seq_1eedfbc5839f67d6,118,V3_5T,Geometry_global,0.23241
R1190,seq_1eedfbc5839f67d6,118,J_3T2D,Geometry_global,0.27066
R1190,seq_1eedfbc5839f67d6,118,V3_3T2D,Geometry_global,0.27066
