target_id,cluster_id,bank,n_candidates,best_tm,mean_pairwise_self_tm,near_duplicate_pair_fraction,source_available,fallback_slots
8QEQ_R,8QEQ_R,5T,5,0.33982,0.173861,0.0,True,0
8QEQ_R,8QEQ_R,3T+2D,5,0.2617,0.17756750000000002,0.0,True,0
8QEQ_R,8QEQ_R,2T,2,0.2617,0.07319,0.0,True,0
8QEQ_R,8QEQ_R,1T+1D,2,0.2617,0.22702,0.0,True,0
8QEQ_R,8QEQ_R,2D,2,0.23709,0.46964,0.0,True,0
8T2Y_tA,8XU8_s,5T,5,0.86466,0.831404,0.1,True,0
8T2Y_tA,8XU8_s,3T+2D,5,0.86466,0.7276340000000001,0.0,True,0
8T2Y_tA,8XU8_s,2T,2,0.86466,0.8076,0.0,True,0
8T2Y_tA,8XU8_s,1T+1D,2,0.86466,0.72866,0.0,True,0
8T2Y_tA,8XU8_s,2D,2,0.71818,0.85566,0.0,True,0
8VB6_F,8VBF_F,5T,5,0.15286,0.38231099999999996,0.1,True,0
8VB6_F,8VBF_F,3T+2D,5,0.2914,0.4388724999999999,0.1,True,0
8VB6_F,8VBF_F,2T,2,0.15286,0.93357,0.0,True,0
8VB6_F,8VBF_F,1T+1D,2,0.2914,0.149795,0.0,True,0
8VB6_F,8VBF_F,2D,2,0.2914,0.6069,0.0,True,0
8VBH_F,8VBF_F,5T,5,0.19518,0.227665,0.0,True,0
8VBH_F,8VBF_F,3T+2D,5,0.30635,0.23729399999999998,0.0,True,0
8VBH_F,8VBF_F,2T,2,0.18931,0.15633,0.0,True,0
8VBH_F,8VBF_F,1T+1D,2,0.30121,0.27697,0.0,True,0
8VBH_F,8VBF_F,2D,2,0.30635,0.52928,0.0,True,0
8ZOL_A,8ZOL_A,5T,5,0.90699,0.38128900000000004,0.0,True,0
8ZOL_A,8ZOL_A,3T+2D,5,0.90699,0.235982,0.0,True,0
8ZOL_A,8ZOL_A,2T,2,0.90699,0.58785,0.0,True,0
8ZOL_A,8ZOL_A,1T+1D,2,0.90699,0.21429,0.0,True,0
8ZOL_A,8ZOL_A,2D,2,0.18058,0.32215,0.0,True,0
9FI8_hB,9FI8_hB,5T,5,0.22678,0.4573519999999999,0.0,True,0
9FI8_hB,9FI8_hB,3T+2D,5,0.22804,0.358097,0.0,True,0
9FI8_hB,9FI8_hB,2T,2,0.20914,0.55406,0.0,True,0
9FI8_hB,9FI8_hB,1T+1D,2,0.22804,0.26374,0.0,True,0
9FI8_hB,9FI8_hB,2D,2,0.22804,0.43329,0.0,True,0
9FI8_hL,9FI8_hL,5T,5,0.13669,0.202228,0.0,True,0
9FI8_hL,9FI8_hL,3T+2D,5,0.14079,0.24174199999999998,0.0,True,0
9FI8_hL,9FI8_hL,2T,2,0.10079,0.09907,0.0,True,0
9FI8_hL,9FI8_hL,1T+1D,2,0.10691,0.18992,0.0,True,0
9FI8_hL,9FI8_hL,2D,2,0.14079,0.66321,0.0,True,0
9FIA_bJ,9FIA_bJ,5T,5,0.16162,0.3952405,0.3,True,0
9FIA_bJ,9FIA_bJ,3T+2D,5,0.17393,0.184634,0.0,True,0
9FIA_bJ,9FIA_bJ,2T,2,0.13568,0.10778,0.0,True,0
9FIA_bJ,9FIA_bJ,1T+1D,2,0.16228,0.14036,0.0,True,0
9FIA_bJ,9FIA_bJ,2D,2,0.17393,0.39258,0.0,True,0
9G6K_l1,9G6K_l1,5T,5,0.18348,0.40132600000000007,0.3,True,0
9G6K_l1,9G6K_l1,3T+2D,5,0.18348,0.250955,0.1,True,0
9G6K_l1,9G6K_l1,2T,2,0.18348,0.1609,0.0,True,0
9G6K_l1,9G6K_l1,1T+1D,2,0.18348,0.20777,0.0,True,0
9G6K_l1,9G6K_l1,2D,2,0.1582,0.27108,0.0,True,0
9G6K_l3,9G6K_l3,5T,5,0.13318,0.760184,0.0,True,0
9G6K_l3,9G6K_l3,3T+2D,5,0.17258,0.415512,0.0,True,0
9G6K_l3,9G6K_l3,2T,2,0.13318,0.90663,0.0,True,0
9G6K_l3,9G6K_l3,1T+1D,2,0.12815,0.24622,0.0,True,0
9G6K_l3,9G6K_l3,2D,2,0.17258,0.23042,0.0,True,0
9G6K_l9,9G6K_l9,5T,5,0.14762,0.286231,0.0,True,0
9G6K_l9,9G6K_l9,3T+2D,5,0.14762,0.236771,0.0,True,0
9G6K_l9,9G6K_l9,2T,2,0.14762,0.18146,0.0,True,0
9G6K_l9,9G6K_l9,1T+1D,2,0.14762,0.19606,0.0,True,0
