target_id,cluster_id,seq_len,bank,setting,best5_tm
8QEQ_R,8QEQ_R,30,J-controlled,Raw,0.25769
8QEQ_R,8QEQ_R,30,J-controlled,John-original,0.27838
8QEQ_R,8QEQ_R,30,J-controlled,John-fixed,0.27883
8QEQ_R,8QEQ_R,30,J-controlled,Simple,0.27476
8QEQ_R,8QEQ_R,30,J-controlled,Geometry,0.26591
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Raw,0.2617
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,John-original,0.27892
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,John-fixed,0.27688
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Geometry,0.27026
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Geometry-fixed-strength,0.27514
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Geometry-global-prior,0.27039
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Geometry-no-Rg,0.27027
8QEQ_R,8QEQ_R,30,Thesis-3T+2D,Simple,0.27526
8T2Y_tA,8XU8_s,76,J-controlled,Raw,0.86466
8T2Y_tA,8XU8_s,76,J-controlled,John-original,0.86423
8T2Y_tA,8XU8_s,76,J-controlled,John-fixed,0.8556
8T2Y_tA,8XU8_s,76,J-controlled,Simple,0.86076
8T2Y_tA,8XU8_s,76,J-controlled,Geometry,0.86559
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Raw,0.86466
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,John-original,0.86423
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,John-fixed,0.8556
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Geometry,0.86562
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Geometry-fixed-strength,0.86397
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Geometry-global-prior,0.86562
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Geometry-no-Rg,0.8656
8T2Y_tA,8XU8_s,76,Thesis-3T+2D,Simple,0.86087
8VB6_F,8VBF_F,34,J-controlled,Raw,0.19045
8VB6_F,8VBF_F,34,J-controlled,John-original,0.2392
8VB6_F,8VBF_F,34,J-controlled,John-fixed,0.23819
8VB6_F,8VBF_F,34,J-controlled,Simple,0.18982
8VB6_F,8VBF_F,34,J-controlled,Geometry,0.18234
8VB6_F,8VBF_F,34,Thesis-3T+2D,Raw,0.2914
8VB6_F,8VBF_F,34,Thesis-3T+2D,John-original,0.27224
8VB6_F,8VBF_F,34,Thesis-3T+2D,John-fixed,0.27753
8VB6_F,8VBF_F,34,Thesis-3T+2D,Geometry,0.29172
8VB6_F,8VBF_F,34,Thesis-3T+2D,Geometry-fixed-strength,0.29085
8VB6_F,8VBF_F,34,Thesis-3T+2D,Geometry-global-prior,0.29185
8VB6_F,8VBF_F,34,Thesis-3T+2D,Geometry-no-Rg,0.29157
8VB6_F,8VBF_F,34,Thesis-3T+2D,Simple,0.2899
8VBH_F,8VBF_F,36,J-controlled,Raw,0.17198
8VBH_F,8VBF_F,36,J-controlled,John-original,0.18923
8VBH_F,8VBF_F,36,J-controlled,John-fixed,0.18034
8VBH_F,8VBF_F,36,J-controlled,Simple,0.1958
8VBH_F,8VBF_F,36,J-controlled,Geometry,0.18801
8VBH_F,8VBF_F,36,Thesis-3T+2D,Raw,0.30635
8VBH_F,8VBF_F,36,Thesis-3T+2D,John-original,0.29783
8VBH_F,8VBF_F,36,Thesis-3T+2D,John-fixed,0.30238
8VBH_F,8VBF_F,36,Thesis-3T+2D,Geometry,0.31095
8VBH_F,8VBF_F,36,Thesis-3T+2D,Geometry-fixed-strength,0.31009
8VBH_F,8VBF_F,36,Thesis-3T+2D,Geometry-global-prior,0.31029
8VBH_F,8VBF_F,36,Thesis-3T+2D,Geometry-no-Rg,0.31088
8VBH_F,8VBF_F,36,Thesis-3T+2D,Simple,0.30879
8ZOL_A,8ZOL_A,61,J-controlled,Raw,0.90699
8ZOL_A,8ZOL_A,61,J-controlled,John-original,0.89511
8ZOL_A,8ZOL_A,61,J-controlled,John-fixed,0.84924
8ZOL_A,8ZOL_A,61,J-controlled,Simple,0.89008
8ZOL_A,8ZOL_A,61,J-controlled,Geometry,0.90607
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Raw,0.90699
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,John-original,0.8973
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,John-fixed,0.85478
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Geometry,0.90637
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Geometry-fixed-strength,0.89242
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Geometry-global-prior,0.90616
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Geometry-no-Rg,0.90614
8ZOL_A,8ZOL_A,61,Thesis-3T+2D,Simple,0.89316
9FI8_hB,9FI8_hB,56,J-controlled,Raw,0.23444
9FI8_hB,9FI8_hB,56,J-controlled,John-original,0.23166
9FI8_hB,9FI8_hB,56,J-controlled,John-fixed,0.20308
9FI8_hB,9FI8_hB,56,J-controlled,Simple,0.23422
9FI8_hB,9FI8_hB,56,J-controlled,Geometry,0.23828
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Raw,0.22804
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,John-original,0.20908
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,John-fixed,0.2092
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Geometry,0.20939
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Geometry-fixed-strength,0.20987
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Geometry-global-prior,0.20942
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Geometry-no-Rg,0.2094
9FI8_hB,9FI8_hB,56,Thesis-3T+2D,Simple,0.2109
9FI8_hL,9FI8_hL,33,J-controlled,Raw,0.12964
9FI8_hL,9FI8_hL,33,J-controlled,John-original,0.1275
9FI8_hL,9FI8_hL,33,J-controlled,John-fixed,0.12693
9FI8_hL,9FI8_hL,33,J-controlled,Simple,0.12806
9FI8_hL,9FI8_hL,33,J-controlled,Geometry,0.14219
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Raw,0.14079
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,John-original,0.14318
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,John-fixed,0.14269
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Geometry,0.14365
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Geometry-fixed-strength,0.14479
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Geometry-global-prior,0.14399
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Geometry-no-Rg,0.1436
9FI8_hL,9FI8_hL,33,Thesis-3T+2D,Simple,0.14334
9FIA_bJ,9FIA_bJ,71,J-controlled,Raw,0.17847
9FIA_bJ,9FIA_bJ,71,J-controlled,John-original,0.18626
9FIA_bJ,9FIA_bJ,71,J-controlled,John-fixed,0.16301
9FIA_bJ,9FIA_bJ,71,J-controlled,Simple,0.16661
9FIA_bJ,9FIA_bJ,71,J-controlled,Geometry,0.15344
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Raw,0.17393
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,John-original,0.18897
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,John-fixed,0.1724
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Geometry,0.18899
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Geometry-fixed-strength,0.18871
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Geometry-global-prior,0.17044
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Geometry-no-Rg,0.18857
9FIA_bJ,9FIA_bJ,71,Thesis-3T+2D,Simple,0.19113
9G6K_l1,9G6K_l1,50,J-controlled,Raw,0.18474
9G6K_l1,9G6K_l1,50,J-controlled,John-original,0.18673
9G6K_l1,9G6K_l1,50,J-controlled,John-fixed,0.1869
9G6K_l1,9G6K_l1,50,J-controlled,Simple,0.18747
9G6K_l1,9G6K_l1,50,J-controlled,Geometry,0.18657
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Raw,0.18348
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,John-original,0.18248
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,John-fixed,0.17979
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Geometry,0.18404
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Geometry-fixed-strength,0.18521
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Geometry-global-prior,0.18474
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Geometry-no-Rg,0.18377
9G6K_l1,9G6K_l1,50,Thesis-3T+2D,Simple,0.1834
9G6K_l3,9G6K_l3,59,J-controlled,Raw,0.14671
9G6K_l3,9G6K_l3,59,J-controlled,John-original,0.14416
9G6K_l3,9G6K_l3,59,J-controlled,John-fixed,0.14517
9G6K_l3,9G6K_l3,59,J-controlled,Simple,0.14516
9G6K_l3,9G6K_l3,59,J-controlled,Geometry,0.14521
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Raw,0.17258
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,John-original,0.16136
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,John-fixed,0.15693
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Geometry,0.16075
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Geometry-fixed-strength,0.16182
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Geometry-global-prior,0.16074
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Geometry-no-Rg,0.15922
9G6K_l3,9G6K_l3,59,Thesis-3T+2D,Simple,0.15619
9G6K_l9,9G6K_l9,91,J-controlled,Raw,0.13486
9G6K_l9,9G6K_l9,91,J-controlled,John-original,0.13704
9G6K_l9,9G6K_l9,91,J-controlled,John-fixed,0.13704
9G6K_l9,9G6K_l9,91,J-controlled,Simple,0.13279
9G6K_l9,9G6K_l9,91,J-controlled,Geometry,0.13651
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Raw,0.14762
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,John-original,0.14842
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,John-fixed,0.13577
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Geometry,0.15253
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Geometry-fixed-strength,0.15386
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Geometry-global-prior,0.13699
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Geometry-no-Rg,0.15235
9G6K_l9,9G6K_l9,91,Thesis-3T+2D,Simple,0.15182
9G6K_lA,9G6K_lA,65,J-controlled,Raw,0.19805
9G6K_lA,9G6K_lA,65,J-controlled,John-original,0.14284
9G6K_lA,9G6K_lA,65,J-controlled,John-fixed,0.14367
9G6K_lA,9G6K_lA,65,J-controlled,Simple,0.20152
9G6K_lA,9G6K_lA,65,J-controlled,Geometry,0.19971
9G6K_lA,9G6K_lA,65,Thesis-3T+2D,Raw,0.28777
9G6K_lA,9G6K_lA,65,Thesis-3T+2D,John-original,0.30712
9G6K_lA,9G6K_lA,65,Thesis-3T+2D,John-fixed,0.30154
9G6K_lA,9G6K_lA,65,Thesis-3T+2D,Geometry,0.28773
