target_id,cluster_id,1T+1D,2D,2T,3T+2D,5T,h2_delta
8QEQ_R,8QEQ_R,0.2617,0.23709,0.2617,0.2617,0.33982,-0.07812000000000002
8RR3_T,8RR3_T,0.40886,0.27719,0.40886,0.40886,0.40886,0.0
8T2Y_tA,8XU8_s,0.86466,0.71818,0.86466,0.86466,0.86466,0.0
8UP5_T,8UP5_T,0.81116,0.69628,0.81116,0.81116,0.81116,0.0
8VB6_F,8VBF_F,0.2914,0.2914,0.15286,0.2914,0.15286,0.13854
8VBH_F,8VBF_F,0.30121,0.30635,0.18931,0.30635,0.19518,0.11117000000000002
8Y03_G,8Y03_G,0.50607,0.3006,0.50607,0.50607,0.50607,0.0
8Y08_B,8Y03_G,0.84563,0.34027,0.86188,0.86188,0.86188,0.0
8Y0B_B,8Y0B_B,0.66809,0.28826,0.70397,0.70397,0.70397,0.0
8ZOL_A,8ZOL_A,0.90699,0.18058,0.90699,0.90699,0.90699,0.0
9D85_T,8UP5_T,0.66869,0.58253,0.66869,0.66869,0.66869,0.0
9FI8_hB,9FI8_hB,0.22804,0.22804,0.20914,0.22804,0.22678,0.0012599999999999834
9FI8_hL,9FI8_hL,0.10691,0.14079,0.10079,0.14079,0.13669,0.0040999999999999925
9FIA_bJ,9FIA_bJ,0.16228,0.17393,0.13568,0.17393,0.16162,0.012309999999999988
9G6K_l1,9G6K_l1,0.18348,0.1582,0.18348,0.18348,0.18348,0.0
9G6K_l3,9G6K_l3,0.12815,0.17258,0.13318,0.17258,0.13318,0.03940000000000002
9G6K_l9,9G6K_l9,0.14762,0.13538,0.14762,0.14762,0.14762,0.0
9G6K_lA,9G6K_lA,0.21298,0.28777,0.1153,0.28777,0.21189,0.07588000000000003
9G6K_lB,9G6K_lB,0.10962,0.12374,0.09156,0.12374,0.11442,0.009320000000000009
9G6K_lK,9G6K_lK,0.16384,0.11489,0.16384,0.16384,0.16384,0.0
