target_id,sequence_cluster,length,native_conformations,J_SS_RAW,V3_COMPOSITE_IC_LINEAR,V3_MMSEQS_IC_LINEAR,V3_MERGED_IC_LINEAR,V3_MERGED_ICS_LINEAR,V3_EXACT_RAW,V3_MERGED_I_LINEAR,V3_COMPOSITE_ICS_LINEAR,V3_MERGED_ICS_JOHN_GAP
R1107,seq_2a56598e5142d87d,69,1,0.37382,0.38208,0.3292,0.38208,0.38208,0.38208,0.38208,0.38208,0.38211
R1108,seq_0f7467835a4eb605,69,2,0.48873,0.49384,0.31829,0.49384,0.49384,0.49384,0.49384,0.49384,0.49395
R1116,seq_ab902745838f97e5,157,1,0.45228,0.45138,0.45138,0.45138,0.45138,0.45342,0.44973,0.45138,0.45607
R1117v2,seq_d00cb7b2e16a5704,30,2,0.45269,0.46162,0.10995,0.46162,0.46162,0.46162,0.46162,0.46162,0.46162
R1126,seq_c8464c14b2e8bee2,363,1,0.20394,0.20228,0.16756,0.20228,0.20228,0.20438,0.16696,0.20228,0.19428
R1128,seq_f3159d2df289b012,238,1,0.19261,0.20745,0.15684,0.20745,0.20745,0.20781,0.16256,0.20745,0.22363
R1136,seq_e113e5b915f73e77,374,1,0.2049,0.21934,0.15751,0.21934,0.21934,0.23157,0.15751,0.21934,0.19878
R1138,seq_10df3cf7b8552761,720,2,0.21747,0.22362,0.1679,0.22362,0.22362,0.22428,0.22362,0.22362,0.2217
R1149,seq_6157861c4fd04fcf,124,10,0.30109,0.31842,0.15589,0.31842,0.31842,0.31673,0.31842,0.31842,0.31842
R1156,seq_43da3c4c1f178763,135,40,0.25324,0.27993,0.1708,0.27993,0.27993,0.27631,0.27747,0.27993,0.26851
R1189,seq_1eedfbc5839f67d6,118,1,0.21249,0.2198,0.16161,0.2198,0.2198,0.2198,0.2198,0.2198,0.22256
R1190,seq_1eedfbc5839f67d6,118,1,0.22154,0.23813,0.15505,0.23813,0.23813,0.23813,0.22411,0.23813,0.2414
