target_id,cluster_id,gap_bin,john_gap,linear,curved
8QEQ_R,8QEQ_R,1-2,7.64994630253133,7.271239080846379,7.271239080846379
8QEQ_R,8QEQ_R,6-8,7.173827604146235,7.1725328573555815,7.131332144743972
8QEQ_R,8QEQ_R,9-20,8.20912499810308,8.528765994315025,8.528765994315025
8RR3_T,8RR3_T,1-2,4.5837561651223355,4.571261388390667,4.571261388390667
8RR3_T,8RR3_T,3-5,6.140030672530626,5.794702316554638,5.876284548303341
8RR3_T,8RR3_T,6-8,8.586863493103053,7.837118659101089,7.72935370885465
8T2Y_tA,8XU8_s,1-2,2.0729297088096437,1.9891668014332993,1.9891668014332993
8UP5_T,8UP5_T,1-2,3.8440949450038655,3.7098920283190893,3.7098920283190893
8UP5_T,8UP5_T,6-8,6.007994191181716,4.329303362368985,4.771607542121936
8VB6_F,8VBF_F,3-5,5.791375735643806,5.3799191193130556,5.286429519461812
8VB6_F,8VBF_F,6-8,8.584754797334455,5.680948699763081,5.5638440708366845
8VBH_F,8VBF_F,1-2,5.006349902961255,4.797904404133781,4.797904404133781
8VBH_F,8VBF_F,3-5,6.612070637663237,6.432314689500178,6.273752547760711
8VBH_F,8VBF_F,6-8,8.603814201954547,5.718752132299222,5.600569916172794
8Y03_G,8Y03_G,1-2,4.188269083480962,4.241799612470217,4.241799612470217
8Y08_B,8Y03_G,1-2,2.453550001109976,2.5919662391975975,2.5919662391975975
8Y0B_B,8Y0B_B,1-2,11.151690312197736,10.89145384880413,10.89145384880413
8Y0B_B,8Y0B_B,9-20,9.865875444459714,10.365725983603642,10.365725983603642
8ZOL_A,8ZOL_A,1-2,3.0751067778506984,2.9285540458766794,2.9285540458766794
9D85_T,8UP5_T,1-2,3.84494084471856,3.7107379280337844,3.7107379280337844
9D85_T,8UP5_T,6-8,2.779908241622472,2.931224598572403,2.9841210282412307
9FI8_hB,9FI8_hB,1-2,3.5198071016414683,3.3293519898035897,3.3293519898035897
9FI8_hL,9FI8_hL,3-5,5.205694378622183,5.629326054337243,5.680974452466925
9FI8_hL,9FI8_hL,6-8,6.335052174894776,7.562039919640499,7.562039919640499
9FIA_bJ,9FIA_bJ,1-2,3.1094073328924487,3.2091688391040027,3.2091688391040027
9FIA_bJ,9FIA_bJ,3-5,5.967626680777396,6.312540290705304,6.3391255525737
9FIA_bJ,9FIA_bJ,6-8,3.441987608054848,6.786259075476762,6.715113627570597
9G6K_l1,9G6K_l1,1-2,6.462897391882796,6.686862858210441,6.686862858210441
9G6K_l3,9G6K_l3,3-5,4.06506905395444,3.9910162165789753,3.9910162165789753
9G6K_l9,9G6K_l9,1-2,5.895318220729944,5.696990566199053,5.696990566199053
9G6K_lA,9G6K_lA,1-2,14.46438772690332,14.413887059731028,14.413887059731028
9G6K_lA,9G6K_lA,3-5,6.52535085165775,6.120794740641509,6.173962955708884
9G6K_lA,9G6K_lA,6-8,9.00843165975065,7.2378142720767755,7.130665983697628
9G6K_lB,9G6K_lB,1-2,7.123787672979682,7.202439927723979,7.22291962687848
9G6K_lB,9G6K_lB,3-5,6.282936418850374,6.382524509793184,6.445020622511407
9G6K_lB,9G6K_lB,6-8,7.863607372471344,8.127972769087924,8.127972769087924
9G6K_lB,9G6K_lB,9-20,10.654356458643624,8.595214803563637,8.545650520093346
