target_id,cluster_id,seq_len,bank,n_candidates,best_tm,mean_pairwise_self_tm,near_duplicate_pair_fraction,source_available
8BU8_A,8BU8_A,354,5T,5,0.16394,0.287194,0.0,True
8BU8_A,8BU8_A,354,3T+2D,5,0.30678,0.214455,0.0,True
8BU8_A,8BU8_A,354,2T,2,0.16394,0.20045,0.0,True
8BU8_A,8BU8_A,354,1T+1D,2,0.30678,0.14603,0.0,True
8BU8_A,8BU8_A,354,2D,2,0.30678,0.25201,0.0,True
8CBM_T,8CBM_T,69,5T,5,0.37183,0.514053,0.4,True
8CBM_T,8CBM_T,69,3T+2D,5,0.4294,0.507398,0.3,True
8CBM_T,8CBM_T,69,2T,2,0.23094,0.99626,1.0,True
8CBM_T,8CBM_T,69,1T+1D,2,0.4294,0.2162,0.0,True
8CBM_T,8CBM_T,69,2D,2,0.4294,0.87666,0.0,True
8K85_A,8K85_A,56,5T,5,0.39681,0.5898605,0.1,True
8K85_A,8K85_A,56,3T+2D,5,0.39681,0.40047299999999997,0.1,True
8K85_A,8K85_A,56,2T,2,0.39681,0.986,1.0,True
8K85_A,8K85_A,56,1T+1D,2,0.39681,0.36102,0.0,True
8K85_A,8K85_A,56,2D,2,0.17405,0.34237,0.0,True
8KIE_a,8KIE_a,358,5T,5,0.29002,0.23159950000000004,0.0,True
8KIE_a,8KIE_a,358,3T+2D,5,0.28349,0.26211900000000005,0.0,True
8KIE_a,8KIE_a,358,2T,2,0.20008,0.13597,0.0,True
8KIE_a,8KIE_a,358,1T+1D,2,0.28349,0.17715,0.0,True
8KIE_a,8KIE_a,358,2D,2,0.28349,0.30858,0.0,True
8ONY_5,8ONY_5,156,5T,5,0.13492,0.9273870000000001,0.6,True
8ONY_5,8ONY_5,156,3T+2D,5,0.16927,0.43923049999999997,0.3,True
8ONY_5,8ONY_5,156,2T,2,0.13492,0.97895,1.0,True
8ONY_5,8ONY_5,156,1T+1D,2,0.16927,0.18175,0.0,True
8ONY_5,8ONY_5,156,2D,2,0.16927,0.39483,0.0,True
8ONZ_1,8ONZ_1,270,5T,5,0.55346,0.2438205,0.1,True
8ONZ_1,8ONZ_1,270,3T+2D,5,0.55346,0.191699,0.0,True
8ONZ_1,8ONZ_1,270,2T,2,0.55346,0.11719,0.0,True
8ONZ_1,8ONZ_1,270,1T+1D,2,0.55346,0.13931,0.0,True
8ONZ_1,8ONZ_1,270,2D,2,0.31307,0.35976,0.0,True
8OPT_D,8OPT_D,54,5T,5,0.40125,0.322885,0.0,True
8OPT_D,8OPT_D,54,3T+2D,5,0.40125,0.24927099999999996,0.0,True
8OPT_D,8OPT_D,54,2T,2,0.40125,0.11219,0.0,True
8OPT_D,8OPT_D,54,1T+1D,2,0.40125,0.25347,0.0,True
8OPT_D,8OPT_D,54,2D,2,0.16163,0.5016,0.0,True
8P7X_7,8P7X_7,75,5T,5,0.87693,0.9091510000000002,0.3,True
8P7X_7,8P7X_7,75,3T+2D,5,0.87288,0.743117,0.1,True
8P7X_7,8P7X_7,75,2T,2,0.87287,0.82032,0.0,True
8P7X_7,8P7X_7,75,1T+1D,2,0.87287,0.72843,0.0,True
8P7X_7,8P7X_7,75,2D,2,0.70519,0.83454,0.0,True
8P8B_5,8P8B_5,30,5T,5,0.22449,0.354819,0.0,True
8P8B_5,8P8B_5,30,3T+2D,5,0.19191,0.22725800000000002,0.0,True
8P8B_5,8P8B_5,30,2T,2,0.14611,0.70459,0.0,True
8P8B_5,8P8B_5,30,1T+1D,2,0.18384,0.14691,0.0,True
8P8B_5,8P8B_5,30,2D,2,0.18384,0.50651,0.0,True
8PM0_V,8PM0_V,31,5T,5,0.36212,0.223442,0.0,True
8PM0_V,8PM0_V,31,3T+2D,5,0.36212,0.265483,0.0,True
8PM0_V,8PM0_V,31,2T,2,0.36212,0.08827,0.0,True
8PM0_V,8PM0_V,31,1T+1D,2,0.36212,0.16052,0.0,True
8PM0_V,8PM0_V,31,2D,2,0.17391,0.78583,0.0,True
8Q6N_A,8Q6N_A,46,5T,5,0.60274,0.619015,0.0,True
8Q6N_A,8Q6N_A,46,3T+2D,5,0.60274,0.547312,0.0,True
8Q6N_A,8Q6N_A,46,2T,2,0.60274,0.80343,0.0,True
8Q6N_A,8Q6N_A,46,1T+1D,2,0.55786,0.3753,0.0,True
8Q6N_A,8Q6N_A,46,2D,2,0.40783,0.50919,0.0,True
8QBK_Q,8QBK_Q,85,5T,5,0.1978,0.945203,0.4,True
8QBK_Q,8QBK_Q,85,3T+2D,5,0.31689,0.4969950000000001,0.2,True
8QBK_Q,8QBK_Q,85,2T,2,0.1978,0.94584,0.0,True
8QBK_Q,8QBK_Q,85,1T+1D,2,0.31689,0.23598,0.0,True
8QBK_Q,8QBK_Q,85,2D,2,0.31689,0.65428,0.0,True
8QBL_L,8QBL_L,37,5T,5,0.15136,0.12603499999999998,0.0,True
8QBL_L,8QBL_L,37,3T+2D,5,0.13874,0.138674,0.0,True
8QBL_L,8QBL_L,37,2T,2,0.11577,0.11045,0.0,True
8QBL_L,8QBL_L,37,1T+1D,2,0.10326,0.10964,0.0,True
8QBL_L,8QBL_L,37,2D,2,0.13874,0.19161,0.0,True
8QO2_A,8QO2_A,222,5T,5,0.13332,0.964677,0.6,True
8QO2_A,8QO2_A,222,3T+2D,5,0.29719,0.412977,0.1,True
8QO2_A,8QO2_A,222,2T,2,0.13195,0.92623,0.0,True
8QO2_A,8QO2_A,222,1T+1D,2,0.29719,0.12286,0.0,True
8QO2_A,8QO2_A,222,2D,2,0.29719,0.50716,0.0,True
8QO3_A,8QO3_A,118,5T,5,0.26032,0.3782439999999999,0.0,True
8QO3_A,8QO3_A,118,3T+2D,5,0.45792,0.25039,0.0,True
